0	2011	E NHANCED I NTERCELL I NTERFERENCE C OORDINATION C HALLENGES IN D AVID L O	J I E Z Hang, U Niversity O F S Heffield
1	2011	E-Government - Just a Matter of Technology?	Arild Jansen Jansen
1	2011	e-Health promises and challenges: some ethical considerations.	Eike-Henner W Kluge
1	2011	e-Learning, online learning, and distance learning environments: Are they the same?	Joi L Moore, Camille Dickson-Deane, Krista Galyen
1	2011	E-Mobility for Tropical Megacities – The TUM CREATE Centre for Electro Mobility	Nora Martiny, Andreas Schwab
2	2011	E-Procurement Adoption at the Municipal Level: Influence of Organizational, Technological and Environmental Factors	Daniel J Veit, Nils P Parasie, Jan C Huntgeburth
2	2011	E-RoC: Embedded RAIDs-on-Chip for low power distributed dynamically managed reliable memories	Luis Angel D Bathen, Nikil D Dutt
2	2011	E-shape microstrip patch antenna design for GPS application	Shobhit K Patel, Y P Kosta
2	2011	E-shaver: an improved DullRazor(®) for digitally removing dark and light-colored hairs in dermoscopic images.	Kimia Kiani, Ahmad R Sharafat
2	2011	Ear-to-ear on-body channel fading in the ISM-band for tangentially-polarized antennas	Soren H Kvist, Jesper Thaysen, Kaj B Jakobsen
3	2011	Early brain injury and plasticity: Reorganization and functional Recovery	Ana Katusic
3	2011	Early degradation of silicon PV modules and guaranty conditions	M A Munoz, M C Alonso-García, Nieves Vela, F Chenlo
4	2011	Early depth assessment of local burns by videomicroscopy: 24h after injury is a critical time point.	Kyomi Mihara, Hajime Shindo, Minako Ohtani, Kotaro Nagasaki, Reiko Nakashima, Norito Katoh
4	2011	Early detection of hand movements from electroencephalograms for stroke therapy applications.	A Muralidharan, J Chae, D M Taylor
5	2011	Early electrophysiological correlates of adaptation to personally familiar and unfamiliar faces across viewpoint changes.	Stéphanie Caharel, Corentin Jacques, Olivier d'Arripe, Meike Ramon, Bruno Rossion
5	2011	Early error detection is generic, but subsequent adaption to errors is not: evidence from ERPs.	Monica Dhar, Gilles Pourtois
5	2011	Early error detection predicted by reduced pre-response control process: an ERP topographic mapping study.	Gilles Pourtois
5	2011	Early event-related cortical activity originating in the frontal eye fields and inferior parietal lobe predicts the occurrence of correct and error saccades.	Radek Ptak, Christian Camen, Stéphanie Morand, Armin Schnider
6	2011	Early influence of prior experience on face perception.	Lucile Gamond, Nathalie George, Jean-Didier Lemaréchal, Laurent Hugueville, Claude Adam, Catherine Tallon-Baudry
7	2011	Early onset of neural synchronization in the contextual associations network.	Kestutis Kveraga, Avniel Singh Ghuman, Karim S Kassam, Elissa A Aminoff, Matti S Hämäläinen, Maximilien Chaumon
8	2011	Early Recognition and Disease Prediction in the At-Risk Mental States for Psychosis Using Neurocognitive Pattern Classification.	Nikolaos Koutsouleris, Christos Davatzikos, Ronald Bottlender, Katja Patschurek-Kliche, Johanna Scheuerecker, Petra Decker
9	2012	Early-onset binocularity in preterm infants reveals experience-dependent visual development in humans	G Jando, E Miko-Barath, K Marko, K Hollody, B Torok, I Kovacs
9	2011	Early-onset versus late-onset Alzheimer's disease: the case of the missing APOE epsilon 4 allele	Wiesje M Van Der Flier, Yolande Al Pijnenburg, Nick C Fox, Philip Scheltens
10	2011	Earth Abundant Element Cu 2 Zn(Sn	Grayson M Ford, Qijie Guo, Rakesh Agrawal, Hugh W Hillhouse
10	2011	Earth mover's prototypes: A convex learning approach for discovering activity patterns in dynamic scenes	Gloria Zen, Elisa Ricci
11	2011	Earth's Energy Imbalance and Implications	James Hansen, Makiko Sato, Pushker Kharecha, Karina Von Schuckmann
11	2011	Earthquake prediction using extinct monogenetic volcanoes : A possible new research strategy	Alexandru Szakács
11	2013	Easy PDF Creator is professional software to create PDF . If you wish to remove this line , buy it now .	Cordeiros Em, Pastagem D E Azevém, Anual Lolium, Daniel B Gorelik, Enri Guerra, Raquel R Cardoso
11	2011	Easy-Operable Bending Actuator Based on Aligned Carbon Nanotube / Polymer Composites	Chen E T Al
13	2011	ECG on the Road: Robust and Unobtrusive Estimation of Heart Rate	Tobias Wartzek, Benjamin Eilebrecht, Jeroen Lem, Hans-Joachim Lindner, Steffen Leonhardt, Marian Walter
13	2012	ECG Pattern Analysis for Emotion Detection	Foteini Agrafioti, Student Member, Dimitrios Hatzinakos, Adam K Anderson
14	2012	ECG signal analysis for the assessment of sleep-disordered breathing and sleep pattern.	K Kesper, S Canisius, T Penzel, T Ploch, W Cassel
14	2011	Echo state gaussian process.	Sotirios P Chatzis, Yiannis Demiris
15	2011	Echo-planar imaging with prospective slice-by-slice motion correction using active markers.	Melvyn B Ooi, Sascha Krueger, Jordan Muraskin, William J Thomas, Truman R Brown
15	2011	ECHO: a reference-free short-read error correction algorithm.	Wei-Chun Kao, Andrew H Chan, Yun S Song
15	2012	Echoes of the Brain within the Posterior Cingulate Cortex	Robert Leech, Rodrigo Braga, David J Sharp
16	2011	eCloudRFID – A mobile software framework architecture for pervasive RFID-based applications.	Leonardo A Amaral, Fabiano P Hessel, Eduardo A Bezerra, Jerônimo C Corrêa, Oliver B Longhi, Thiago F O Dias
16	2011	Eco-Feedback on the Go: Motivating Energy Awareness	Anna Spagnolli, Nicola Corradi, Luciano Gamberini, Eve Hoggan, Giulio Jacucci, Cecilia Katzeff
17	2011	Ecological Driving Based on Preceding Vehicle Prediction Using MPC	Mas Kamal, M Mukai, J Murata
17	2012	Ecological Footprint Model Using the Support Vector Machine Technique	Haibo Ma, Wenjuan Chang, Guangbai Cui
17	2011	Ecological management of intensively cropped agro-ecosystems improves soil quality with sustained productivity	A K Bhardwaj, P Jasrotia, S K Hamilton, G P Robertson
17	2011	Ecological mechanisms underlying the sustainability of the agricultural heritage rice-fish coculture system.	Jian Xie, Liangliang Hu, Jianjun Tang, Xue Wu, Nana Li, Yongge Yuan
19	2011	Ecology of Cognitive Radio Ad Hoc Networks	Shin-Ming Cheng, Pin-Yu Chen, Kwang-Cheng Chen
19	2011	eConnectome: A MATLAB toolbox for mapping and imaging of brain functional connectivity.	Bin He, Yakang Dai, Laura Astolfi, Fabio Babiloni, Han Yuan, Lin Yang
20	2011	Economic and environmental implications of demand-side management options	Amit Garg, Jyoti Maheshwari, Diptiranjan Mahapatra, Satish Kumar
20	2011	Economic assessment of solar electricity production from organic-based photovoltaic modules in a domestic environment	Brian Azzopardi, Christopher J M Emmott, Antonio Urbina, Frederik C Krebs, Joseph Mutale, Jenny Nelson
20	2011	Economic benchmark of charging strategies for battery electric vehicles	Benjamin Dietz, Klaus-Henning Ahlert, Alexander Schuller, Christof Weinhardt
21	2011	Economic feasibility and optimisation of an energy storage system for Portland Wind Farm (Victoria, Australia)	Mir-Akbar Hessami, David R Bowly
21	2011	Economic game theory for mutualism and cooperation	Marco Archetti, István Scheuring, Moshe Hoffman, Megan E Frederickson, Naomi E Pierce, Douglas W Yu
21	2011	Economic growth and electricity consumption in Cote d'Ivoire: Evidence from time series analysis	Auguste K Kouakou
22	2011	Economic Model Predictive Control for Building Energy Systems	Jingran Ma, S J Qin, Bo Li, Tim Salsbury
23	2011	Economic-balance hybrid LCA extended with uncertainty analysis: case study of a laptop computer	Liqiu Deng, Callie W Babbitt, Eric D Williams
23	2011	Economical and environmental assessment of an optimized solar cooling system for a medium-sized benchmark office building in Los Angeles, California	Yin Hang, Ming Qu, Fu Zhao
23	2011	Economics of compressed air energy storage to integrate wind power: A case study in ERCOT	Emily Fertig, Jay Apt
