0	2012	F1000 , Mendeley and Traditional Bibliometric Indicators	Xuemei Li, Mike Thelwall
0	2011	FAAST : The Flexible Action and Articulated Skeleton Toolkit	Evan A Suma, Belinda Lange, Albert Skip Rizzo, David M Krum, Mark Bolas
1	2011	Fabricate An 8.35-GHz Frequency Synthesizer	A Attaran, Hossein Ameri Mahabadi, Mahmoud Moghavvemi
1	2011	Fabrication and buckling dynamics of nanoneedle AFM probes.	James D Beard, Sergey N Gordeev
3	2011	Fabrication and characterization of high Q polymer micro-ring resonator and its application as a sensitive ultrasonic detector.	Tao Ling, Sung-Liang Chen, L Jay Guo
3	2011	Fabrication and characterization of high-performance graphene-on-diamond devices	Jie Yu, Guanxiong Liu, Anirudha V Sumant, Alexander A Balandin
5	2011	Fabrication and characterization of Parylene C-caulked PDMS for low-permeable microfluidics	Y H Lei, Y P Liu, W Wang, W G Wu, Z H Li
6	2011	Fabrication and characterization of transparent superhydrophilic/superhydrophobic silica nanoparticulate thin films	Yan-Hong Lin, Kai-Ling Su, Ping-Szu Tsai, Feng-Lin Chuang, Yu-Min Yang
6	2011	Fabrication and comparative optical characterization of n-ZnO nanostructures (nanowalls, nanorods, nanoflowers and nanotubes)/p-GaN white-light-emitting diodes	N H Alvi, S M Usman Ali, S Hussain, O Nur, M Willander
9	2011	Fabrication and realistic modeling of three-dimensional metal-dielectric composites	Mark D Thoreson, Jieran Fang, Alexander V Kildishev, Ludmila J Prokopeva, Piotr Nyga, Uday K Chettiar
9	2011	Fabrication and thermal decay of fiber Bragg gratings in Bi-Al co-doped optical fibers	Georgios Violakis, Hans G Limberger, Valery M Mashinsky, Evgeny M Dianov
9	2011	Fabrication Insensitive Echelle Grating in Silicon-on-Insulator Platform	Dazeng Feng, Wei Qian, Hong Liang, Cheng-Chih Kung, Joan Fong, B Jonathan Luff
11	2011	Fabrication of a-SiGeC:H solar cells using monomethyl germane by suppressing carbon incorporation for narrowing optical bandgap	Do Yun Kim, Ihsanul Afdi Yunaz, Shunsuke Kasashima, Shinsuke Miyajima, Makoto Konagai
11	2011	Fabrication of advanced particles and particle-based materials assisted by droplet-based microfluidics.	Jing-Tao Wang, Juan Wang, Jun-Jie Han
11	2011	Fabrication of an all-spin-coated CdSe/ZnS quantum dot light-emitting diode	Alexander Weiss, Jörg Martin, Doreen Piasta, Thomas Otto, Thomas Gessner
