0	2011	H IERARCHICAL C OOPERATIVE R ELAY B ASED	H Siao W A C Hen, N Ational C Heng, K U N G U Niversity
1	2011	Haar invariant signatures and spatial recognition using omnidirectional visual information only	Ouiddad Labbani-Igbida, Cyril Charron, El Mustapha Mouaddib
1	2011	Habitat complexity drives experimental evolution of a conditionally expressed secondary sexual trait.	Joseph L Tomkins, Wade N Hazel, Marissa A Penrose, Jacek W Radwan, Natasha R LeBas
2	2011	Habituation under natural conditions: model predators are distinguished by approach direction.	Chloé A Raderschall, Robert D Magrath, Jan M Hemmi
2	2011	Hadoop acceleration through network levitated merge	Yandong Wang, Xinyu Que, Weikuan Yu, Dror Goldenberg, Dhiraj Sehgal
3	2011	Haem oxygenase is synthetically lethal with the tumour suppressor fumarate hydratase.	Christian Frezza, Liang Zheng, Ori Folger, Kartik N Rajagopalan, Elaine D MacKenzie, Livnat Jerby
3	2011	Haematite pseudomicrofossils present in the 3.5-billion-year-old Apex Chert	Craig P Marshall, Julienne R Emry, Alison Olcott Marshall
3	2011	HAIRIS: A Method for Automatic Image Registration Through Histogram-Based Image Segmentation	Hernâni Gonçalves, José Alberto Gonçalves, Luís Corte-Real
5	2011	Hallmarks of cancer: the next generation.	Douglas Hanahan, Robert A Weinberg
5	2011	HamiltonJacobi Formulation for ReachAvoid Differential Games	Kostas Margellos, John Lygeros
7	2011	Hand movement decoding by phase-locking low frequency EEG signals	Jiaen Liu, Christopher Perdoni, Bin He
7	2011	Hand preferences in human adults: Non-communicative actions versus communicative gestures.	Hélène Cochet, Jacques Vauclair
7	2011	Hand shape recognition using distance transform and shape decomposition	Junyeong Choi, Hanhoon Park, Jong-Il Park
8	2012	Hand Tracking by Binary Quadratic Programming and Its Application to Retail Activity Recognition	Quanfu Fan
9	2011	Handbook of Atomization and Sprays	Nasser Ashgriz
9	2011	Handbook of Augmented Reality	S K Ong, Y Shen, J Zhang, A Y C Nee
