0	2011	I Am the Antenna : Accurate Outdoor AP Location using Smartphones	Zengbin Zhang, Xia Zhou, Weile Zhang, Yuanyang Zhang, Gang Wang, Ben Y Zhao
0	2011	I Know Where You are and What You are Sharing : Exploiting P2P Communications to Invade Users ’ Privacy	Stevens Le, Blond Chao, Zhang Arnaud, Legout Keith, Ross Walid
0	2011	I N V I T E D A RT I C L E A S URVEY ON 3GPP H ETEROGENEOUS N ETWORKS	Urvey On
1	2011	I NTELLIGENT I NFORMATION D ISSEMINATION IN	M S Kakkasageri, S S Manvi
1	2011	I Still Know What You Visited Last Summer: Leaking Browsing History via User Interaction and Side Channel Attacks	Zachary Weinberg, Eric Y Chen, Pavithra Ramesh Jayaraman, Collin Jackson
1	2011	I want my coffee hot! Learning to find people under spatio-temporal constraints	Gian Diego Tipaldi, Kai O Arras
1	2011	I Want That ”: Human-in-the-Loop Control of a Wheelchair-Mounted Robotic Arm	K M Tsui, D J Kim, Aman Behal, David Kontak, H A Yanco
1	2012	I ’ ll Knock You When I ’ m Ready … Reflecting on Media Richness Beyond Bandwidth and Imitation	Majken Kirkegaard Rasmussen, Natalie Lehoux, Ioana Ocnarescu, Peter Gall Krogh, Alcatel-lucent Bell Labs France, Natalie Ebenreuter
2	2011	I ’ m the Mayor of My House : Examining Why People Use foursquare - a Social-Driven Location Sharing Application	Janne Lindqvist, Justin Cranshaw, Jason Wiese, Jason Hong, John Zimmerman
2	2011	I-CASH: Intelligently Coupled Array of SSD and HDD	Qing Yang, Jin Ren
2	2011	I-seismograph: Observing and measuring Internet earthquakes	Jun Li, Scott Brooks
2	2011	i-SNG: A cost-effective live news broadcasting system over heterogeneous wireless networks	Chia-Hui Wang, Hsing-Shao Liu, Wanjiun Liao
3	2011	I3A Language Recognition System for Albayzin 2010 LRE	David Martinez, Jesús Villalba, Antonio Miguel, Alfonso Ortega, Eduardo Lleida
3	2011	IARC classifies Radiofrequency Electromagnetic Fields as possibly carcinogenic to humans	Press Release
3	2011	IA^3: An Interference Aware Allocation Algorithm for Multicore Hard Real-Time Systems	Marco Paolieri, Eduardo Qui X F Ones, Francisco J Cazorla, Robert I Davis, Mateo Valero
3	2011	iBAT : Detecting Anomalous Taxi Trajectories from GPS Traces	Daqing Zhang, Nan Li, Zhi-hua Zhou, Chao Chen, Lin Sun, Shijian Li
4	2011	IBM POWER7 multicore server processor	B Sinharoy, R Kalla, W J Starke, H Q Le, R Cargnoni, J A Van Norstrand
4	2011	ICA-based muscle artefact correction of EEG data: what is muscle and what is brain? Comment on McMenamin et al.	Sebastian Olbrich, Johannes Jödicke, Christian Sander, Hubertus Himmerich, Ulrich Hegerl
5	2011	ICA-fNORM: spatial normalization of fMRI data using intrinsic group-ICA networks.	Siddharth Khullar, Andrew M Michael, Nathan D Cahill, Kent A Kiehl, Godfrey Pearlson, Stefi A Baum
5	2012	Icebergs in the Clouds : the Other Risks of Cloud Computing	Bryan Ford
6	2011	Ich will promovieren	Monika Heinemann
6	2012	Icon Scanning : Towards Next Generation QR Codes	Itamar Friedman
6	2011	ICOS gene polymorphisms in B-cell chronic lymphocytic leukemia in the Polish population.	Lidia Karabon, Anna Jedynak, Anna Tomkiewicz, Dariusz Wolowiec, Marek Kielbinski, Dariusz Woszczyk
6	2011	ICT architecture for an integrated distribution network monitoring	D Della Giustina, S Repo, S Zanini, L Cremaschini
7	2011	ICT, growth and productivity in the German energy sector – On the way to a smart grid?	Matthias Wissner
8	2011	Ideal Binary Mask Ratio: a novel metric for assessing binary-mask-based sound source separation algorithms	Christopher Hummersone, Russell Mason, Tim Brookes
8	2012	Ideal cardiovascular health and mortality from all causes and diseases of the circulatory system among adults in the United States.	Earl S Ford, Kurt J Greenlund, Yuling Hong
9	2011	Identification and characterisation of midbrain nuclei using optimised functional magnetic resonance imaging.	Eve H Limbrick-Oldfield, Jonathan C W Brooks, Richard J S Wise, Francesco Padormo, Jo V Hajnal, Christian F Beckmann
9	2011	Identification and characterization of an oocyte factor required for development of porcine nuclear transfer embryos.	Kei Miyamoto, Kouhei Nagai, Naoya Kitamura, Tomoaki Nishikawa, Haruka Ikegami, Nguyen T Binh
10	2011	Identification and fate of halogenated PAHs formed during electrochemical treatment of saline aqueous solutions.	Jens Muff, Erik G Søgaard
11	2011	Identification of a biomarker profile associated with resistance to neoadjuvant chemoradiation therapy in rectal cancer.	Julio Garcia-Aguilar, Zhenbin Chen, David D Smith, Wenyan Li, Robert D Madoff, Peter Cataldo
12	2011	Identification of Box-Jenkins models for Parameter-Varying Spatially Interconnected systems	Mukhtar Ali, Ahsan Ali, Hossam Abbas, Herbert Werner
13	2011	Identification of Conversion from Mild Cognitive Impairment to Alzheimer's Disease Using Multivariate Predictors	Yue Cui, Bing Liu, Suhuai Luo, Xiantong Zhen, Ming Fan, Tao Liu
13	2011	Identification of directed interactions in networks	K A Lindsay, J R Rosenberg
14	2011	Identification of fusion genes in breast cancer by paired-end RNA-sequencing.	Henrik Edgren, Astrid Murumagi, Sara Kangaspeska, Daniel Nicorici, Vesa Hongisto, Kristine Kleivi
14	2011	Identification of Genes with Allelic Imbalance on 6p Associated with Nasopharyngeal Carcinoma in Southern Chinese	Yan Li, Li Fu, Alissa Michelle Go Wong, Yan-Hui Fan, Miao-Xin Li, Jin-Xin Bei
15	2011	Identification of group affinity from cross-sectional contours of the human midfacial skeleton using digital morphometrics and 3D laser scanning technology.	Sabrina B Sholts, Phillip L Walker, Susan C Kuzminsky, Kevin W P Miller, Sebastian K T S Wärmländer
16	2011	Identification of LPV State Space Models for Autonomic Web Service Systems	Mara Tanelli, Danilo Ardagna, Marco Lovera
16	2012	Identification of microRNA-regulated gene networks by expression analysis of target genes.	Vincenzo A Gennarino, Giovanni D'Angelo, Gopuraja Dharmalingam, Serena Fernandez, Giorgio Russolillo, Remo Sanges
16	2011	Identification of models of heterogeneous cell populations from population snapshot data	Jan Hasenauer, Steffen Waldherr, Malgorzata Doszczak, Nicole Radde, Peter Scheurich, Frank Allgöwer
16	2012	Identification of new epilepsy treatments: issues in preclinical methodology.	Aristea S Galanopoulou, Paul S Buckmaster, Kevin J Staley, Solomon L Moshé, Emilio Perucca, Jerome Engel
16	2011	Identification of nocturnal movements during sleep using the non-contact under mattress bed sensor	Lorcan Walsh, Eddie Moloney, Sean McLoone
17	2011	Identification of power system topology from synchrophasor data	Katherine M Rogers, Rebecca D Spadoni, Thomas J Overbye
20	2011	Identify technology main paths by adding missing citations using bibliographic coupling and co-citation methods in photovoltaics	Mu-Hsuan Huang, Dar-Zen Chen, Huei-Ru Dong
20	2011	Identifying a person with an acceleration sensor using tracking system in an intelligent space	Tomoyasu Takigawa, Kazuyuki Morioka
20	2011	Identifying a Threshold Impurity Level for Organic Solar Cells: Enhanced First-Order Recombination Via Well-Defined PC84BM Traps in Organic Bulk Heterojunction Solar Cells	Sarah R Cowan, Wei Lin Leong, Natalie Banerji, Gilles Dennler, Alan J Heeger
21	2011	Identifying battery aging mechanisms in large format Li ion cells	Matthieu Dubarry, Bor Yann Liaw, Mao-Sung Chen, Sain-Syan Chyan, Kuo-Chang Han, Wun-Tong Sie
21	2011	Identifying Causal Genes and Dysregulated Pathways in Complex Diseases	Yoo-Ah Kim, Stefan Wuchty, Teresa M Przytycka
21	2011	Identifying Consensus Disease Pathways in Parkinson's Disease Using an Integrative Systems Biology Approach	Yvonne J K Edwards, Gary W Beecham, William K Scott, Sawsan Khuri, Guney Bademci, Demet Tekin
