0	2011	K- shortest path network problem solution with a hybrid Genetic Algorithm: Particle Swarm Optimization algorithm	Hüseyin Kusetoğulları, M S Leeson, W Ren, E L Hines
1	2011	k-t group sparse: A method for accelerating dynamic MRI.	M Usman, C Prieto, T Schaeffter, P G Batchelor
2	2011	Kaleidoscope : Cloud Micro-Elasticity via VM State Coloring	Roy Bryant, Alexey Tumanov, Olga Irzak, Adin Scannell, Kaustubh Joshi, Matti Hiltunen
2	2011	Kaleidoscope of Exotic Quantum Phases in a Frustrated XY Model.	Christopher N Varney, Kai Sun, Victor Galitski, Marcos Rigol
3	2011	Kalman Filter for Robot Vision : a Survey	S Y Chen, Senior Member
3	2011	Kalman filter-based time-varying cortical connectivity analysis of newborn EEG	A H Omidvarnia, M Mesbah, M S Khlif, J M O'Toole, P B Colditz, B Boashash
3	2011	Kalman Filtering in R	Fernando Tusell
5	2011	Karush – Kuhn – Tucker conditions	G Hu, C Han, C P Wild, J Hall, J Chen
5	2011	Keep the brain cool--endovascular cooling in patients with severe traumatic brain injury: a case series study.	Marlene Fischer, Peter Lackner, Ronny Beer, Raimund Helbok, Stephanie Klien, Hanno Ulmer
5	2011	Keep your eyes open: an unusual case of ptosis	C Tziotzios, M Walters
6	2012	Keeping the world at hand: rapid visuomotor processing for hand-object interactions.	Tamar R Makin, Nicholas P Holmes, Claudio Brozzoli, Alessandro Farnè
6	2011	Kelvin force microscopy studies of work function of transparent conducting ZnO:Al electrodes synthesized under varying oxygen pressures	Rafael Jaramillo, Shriram Ramanathan
6	2011	Kelvin probe force microscopy and its application	Wilhelm Melitz, Jian Shen, Andrew C Kummel, Sangyeob Lee
7	2011	Kelvin probe microscopy and electronic transport in graphene on SiC(0001) in the minimum conductivity regime	A E Curtin, M S Fuhrer, J L Tedesco, R L Myers-Ward, C R Eddy, D K Gaskill
7	2012	KEMNAD: A Knowledge Engineering Methodology for Negotiating Agent Development	Xudong Luo, C Miao, Nick Jennings, Minghua He, Z Shen, M Zhang
7	2011	Kernel Belief Propagation	Le Song, Arthur Gretton, Danny Bickson, Yucheng Low, Carlos Guestrin
8	2012	Kernel current source density method.	Jan Potworowski, Wit Jakuczun, Szymon Lȩski, Daniel Wójcik
8	2011	Kernel feature selection to fuse multi-spectral MRI images for brain tumor segmentation	Nan Zhang, Su Ruan, Stéphane Lebonvallet, Qingmin Liao, Yuemin Zhu
8	2011	Kernel method for improving image retrieval performance: a survey	Anca Doloc-Mihu
9	2011	Kernel Optimization in Discriminant Analysis	Di You, Onur C Hamsici, Aleix M Martinez
9	2011	Kernel PLS regression for robust monocular pose estimation	Radu Dondera, Larry Davis
9	2011	Kernel regression for fMRI pattern prediction	Carlton Chu, Yizhao Ni, Geoffrey Tan, Craig J Saunders, John Ashburner
9	2011	Kernel Regression in the Presence of Correlated Errors	Kris De Brabanter
10	2012	Kernelized Locality-Sensitive Hashing.	Brian Kulis, Kristen Grauman
11	2012	Kesterites — a challenging material for solar cells	Susanne Siebentritt, Susan Schorr
11	2011	Ketamine effects on brain function - Simultaneous fMRI/EEG during a visual oddball task.	Francesco Musso, Jürgen Brinkmeyer, Daniel Ecker, Markus K London, Giesela Thieme, Tracy Warbrick
11	2011	Key activities for product derivation in software product lines	Rick Rabiser, Pádraig O’Leary, Ita Richardson
12	2011	Key management systems for sensor networks in the context of the Internet of Things	Rodrigo Roman, Cristina Alcaraz, Javier Lopez, Nicolas Sklavos
