0	2011	L-band carbon nanotube transistor amplifier	M Eron, S Lin, D Wang, M Schroter, P Kempf
1	2011	L1 generalized inverse beam-forming algorithm resolving coherent/incoherent, distributed and multipole sources	Takao Suzuki
1	2011	Lab on a Chip	Accepted Manuscript
1	2011	Lab on a chip phased-array MR multi-platform analysis system.	Oliver G Gruschke, Nicoleta Baxan, Lars Clad, Kai Kratt, Dominik Von Elverfeldt, Andreas Peter
1	2011	Lab on a chip technologies for bioenergy and biosustainability research.	Mathias Uhlen, Helene Andersson Svahn
1	2011	Lab trial of PCE-based OSNR-aware dynamic restoration in multi-domain GMPLS-enabled translucent WSON	Lei Liu, Ramon Casellas, Takehiro Tsuritani, Itsuro Morita, Ricardo Martinez, Raul Munoz
2	2011	Lab-on-a-Bubble: Synthesis, Characterization, and Evaluation of Buoyant Gold Nanoparticle-Coated Silica Spheres.	Virginia L Schmit, Richard Martoglio, Brandon Scott, Aaron D Strickland, Keith T Carron
2	2012	Lab-on-Fiber Technology : Toward Multifunctional Optical Nanoprobes	Marco Consales, Armando Ricciardi, Alessio Crescitelli, Emanuela Esposito, Antonello Cutolo, Andrea Cusano
3	2011	Label-free and noninvasive optical detection of the distribution of nanometer-size mitochondria in single cells.	Xuantao Su, Yuanyuan Qiu, Leah Marquez-Curtis, Manisha Gupta, Clarence E Capjack, Wojciech Rozmus
5	2011	Label-free imaging of semiconducting and metallic carbon nanotubes in cells and mice using transient absorption microscopy.	Ling Tong, Yuxiang Liu, Bridget D Dolash, Yookyung Jung, Mikhail N Slipchenko, Donald E Bergstrom
5	2011	Label-free in vivo fiber-based optical-resolution photoacoustic microscopy.	P Hajireza, W Shi, R J Zemp
6	2011	Label-free live brain imaging and targeted patching with third-harmonic generation microscopy.	Stefan Witte, Adrian Negrean, Johannes C Lodder, Christiaan P J De Kock, Guilherme Testa Silva, Huibert D Mansvelder
6	2011	Label-free multiplexed virus detection using spectral reflectance imaging.	Carlos A Lopez, George G Daaboul, Rahul S Vedula, Emre Ozkumur, David A Bergstein, Thomas W Geisbert
6	2011	Label-free oxygen-metabolic photoacoustic microscopy in vivo.	Junjie Yao, Konstantin I Maslov, Yu Zhang, Younan Xia, Lihong V Wang
6	2011	Label-free single-molecule detection of DNA-hybridization kinetics with a carbon nanotube field-effect transistor.	Sebastian Sorgenfrei, Chien-yang Chiu, Ruben L Gonzalez, Young-Jun Yu, Philip Kim, Colin Nuckolls
7	2011	Laboratory experiments for exploring the surface plasmon resonance	Olivier Pluchery, Romain Vayron, Kha-Man Van
10	2011	Lambda-gamma learning with feedforward neural networks using particle swarm optimization	Andrich B Van Wyk, Andries P Engelbrecht
11	2011	Laminated Air Structured and Fluid Infiltrated Polymer Waveguides	Eike Zeller, Francis H Bennet, Dragomir N Neshev, Arnan Mitchell
12	2011	Laminating solution-processed silver nanowire mesh electrodes onto solid-state dye-sensitized solar cells	Brian E Hardin, Whitney Gaynor, I-Kang Ding, Seung-Bum Rim, Peter Peumans, Michael D McGehee
13	2011	Landau level spectra and the quantum Hall effect of multilayer graphene	Mikito Koshino, Edward McCann
14	2011	Landau Level Spectrum of ABA- and ABC-stacked Trilayer Graphene	Shengjun Yuan, Rafael Roldán, Mikhail I Katsnelson
14	2011	Landau levels in a topological insulator	P Schwab, M Dzierzawa
14	2012	Landau Quantization and the Thickness Limit of Topological Insulator Thin Films of Sb_2Te_3	Yeping Jiang, Yilin Wang, Mu Chen, Zhi Li, Canli Song, Ke He
14	2011	Landauer Clocking for Magnetic Cellular Automata (MCA) Arrays	Anita Kumari, Sanjukta Bhanja
15	2011	Landing, perching and taking off from vertical surfaces	A Lussier Desbiens, A T Asbeck, M R Cutkosky
16	2011	Landslide Monitoring with Sensor Networks : Experiences and Lessons Learnt from a Real-World Deployment Matteo Berti Alessandro Corsini	Alberto Rosi, Nicola Bicocchi, Gabriella Castelli, Marco Mamei, Franco Zambonelli, Reggio Emilia
16	2011	Landslide susceptibility assessment using SVM machine learning algorithm	Miloš Marjanović, Miloš Kovačević, Branislav Bajat, Vít Voženílek
16	2011	Lane confidence fusion for visual occupancy estimation	Thomas Gumpp, Dennis Nienhuser, J Marius Zollner
18	2011	Language comprehension vs. language production: Age effects on fMRI activation.	Karen Lidzba, Eleonore Schwilling, Wolfgang Grodd, Inge Krägeloh-Mann, Marko Wilke
18	2011	Language evolution and human history: what a difference a date makes.	Russell D Gray, Quentin D Atkinson, Simon J Greenhill
19	2011	Language organization and reorganization in epilepsy.	Marla J Hamberger, Jeffrey Cole
19	2011	Language processing in the occipital cortex of congenitally blind adults.	Marina Bedny, Alvaro Pascual-Leone, David Dodell-Feder, Evelina Fedorenko, Rebecca Saxe
19	2011	Language Recognition in iVectors Space a s	David Mart, Pavel Matˇ
20	2011	Language-Independent Sandboxing of Just-In-Time Compilation and Self-Modifying Code	Jason Ansel, Petr Marchenko, Ulfar Erlingsson, Elijah Taylor, Brad Chen, Derek L Schuff
20	2011	Language-universal sensory deficits in developmental dyslexia: English, Spanish, and Chinese.	Usha Goswami, H-L Sharon Wang, Alicia Cruz, Tim Fosker, Natasha Mead, Martina Huss
21	2011	Laparoendoscopic single-site and natural orifice transluminal endoscopic surgery in urology: a critical analysis of the literature.	Riccardo Autorino, Jeffrey A Cadeddu, Mihir M Desai, Matthew Gettman, Inderbir S Gill, Louis R Kavoussi
21	2011	Laplace field microscopy for label-free imaging of dynamic biological structures.	Taewoo Kim, Gabriel Popescu
22	2011	Large area 15.8% n-type mc-Si screen-printed solar cell with screen printed Al-alloyed emitter	Sukhvinder Singh, Frederic Dross, Niels E Posthuma, Robert Mertens
23	2011	Large area forest stem volume mapping in the boreal zone using synergy of ERS-1/2 tandem coherence and MODIS vegetation continuous fields	Oliver Cartus, Maurizio Santoro, Christiane Schmullius, Zengyuan Li
23	2011	Large area near-IR optical fishnet metamaterials	Neilanjan Dutta, Shouyuan Shi, Dennis W Prather
23	2012	Large band gap opening between graphene Dirac cones induced by Na adsorption onto an Ir superlattice.	Marco Papagno, Stefano Rusponi, Polina Makarovna Sheverdyaeva, Sergio Vlaic, Markus Etzkorn, Daniela Pacilé
24	2011	Large change in perpendicular magnetic anisotropy induced by an electric field in FePd ultrathin films	F Bonell, S Murakami, Y Shiota, T Nozaki, T Shinjo, Y Suzuki
24	2011	Large defect-induced sub-bandgap photoresponse in semiconductor nanowires via waveguiding excitation.	Fuxing Gu, Lei Zhang, Huakang Yu, Wei Fang, Jiming Bao, Limin Tong
26	2011	Large integrated absorption enhancement in plasmonic solar cells by combining metallic gratings and antireflection coatings.	Jeremy N Munday, Harry A Atwater
26	2011	Large intrinsic energy bandgaps in annealed nanotube-derived graphene nanoribbons.	T Shimizu, J Haruyama, D C Marcano, D V Kosinkin, J M Tour, K Hirose
27	2011	Large optical Stark shifts in semiconductor quantum dots coupled to photonic crystal cavities	R Bose, D Sridharan, G S Solomon, E Waks
27	2011	Large Port Count High-Speed Optical Switch Fabric for Use Within Datacenters [Invited]	A Wonfor, H Wang, R Penty, I White
28	2011	Large Scale Field Trial Results on Uplink CoMP with Multi Antenna Base Stations	Michael Grieger, Gerhard Fettweis, Patrick Marsch
28	2011	Large scale integration of wind power : moderating thermal power plant cycling	Lisa Göransson, Filip Johnsson
28	2011	Large Scale Sign Detection using HOG Feature Variants	Gary Overett, Lars Petersson
