0	2011	M*: A complete multirobot path planning algorithm with performance bounds	Glenn Wagner, Howie Choset
1	2011	M-plane core-shell InGaN/GaN multiple-quantum-wells on GaN wires for electroluminescent devices.	Robert Koester, Jun-Seok Hwang, Damien Salomon, Xiaojun Chen, Catherine Bougerol, Jean-Paul Barnes
1	2011	M2M: From mobile to embedded internet	Geng Wu, Shilpa Talwar, Kerstin Johnsson, Nageen Himayat, Kevin Johnson
2	2011	MACACO: Modeling and analysis of circuits for approximate computing	Rangharajan Venkatesan, Amit Agarwal, Kaushik Roy, Anand Raghunathan
3	2011	Mach-Zehnder filter using multiple Si waveguide structure sections for polarization independence and improved fabrication/temperature tolerance	H Okayama, D Shimura, H Takahashi, H Yaegashi
3	2011	Machine Condition Prediction Based on Adaptive NeuroFuzzy and High-Order Particle Filtering	Chaochao Chen, Bin Zhang, George Vachtsevanos, Marcos Orchard
3	2012	Machine learning and data mining: strategies for hypothesis generation.	M A Oquendo, E Baca-Garcia, A Artés-Rodríguez, F Perez-Cruz, H C Galfalvy, H Blasco-Fontecilla
4	2012	Machine Learning for the New York City Power Grid.	Cynthia Rudin, David Waltz, Roger N Anderson, Albert Boulanger, Ansaf Salleb-Aouissi, Maggie Chow
4	2012	Machine Learning in Action	Peter Harrington
5	2011	Machine Learning Techniques for Face Analysis	Roberto Valenti, Nicu Sebe, Theo Gevers, Ira Cohen
5	2012	Machine Learning that Matters	Kiri L Wagstaff
5	2011	Machine transliteration survey	Sarvnaz Karimi, Falk Scholer, Andrew Turpin
6	2011	Machine-learning framework for automatic netlist creation	Mohamed Badreddine, Yves Blaquiere, Mounir Boukadoum
6	2011	Machine-to-machine communications for home energy management system in smart grid	Dusit Niyato, Lu Xiao, Ping Wang
6	2011	Macro bending losses in kagome-lattice fibers	A Bhardwaj, B Beaudou, F Gerome, G Humbert, J L Auguste, J M Blondy
6	2011	Macro- and micro-strain in GaN nanowires on Si(111).	B Jenichen, O Brandt, C Pfüller, P Dogan, M Knelangen, A Trampert
7	2011	Macro-femto heterogeneous network deployment and management: from business models to technical solutions	Peng Lin, Jin Zhang, Yanjiao Chen, Qian Zhang
9	2011	Macroscopic invisibility cloaking of visible light	Xianzhong Chen, Yu Luo, Jingjing Zhang, Kyle Jiang, John B Pendry, Shuang Zhang
9	2011	Macroscopic quantum tunneling in nanoelectromechanical systems	Mika A Sillanpaa, Raphael Khan, Tero T Heikkila, Pertti J Hakonen
9	2011	Macroscopic wall number analysis of single-walled, double-walled, and few-walled carbon nanotubes by X-ray diffraction.	Don N Futaba, Takeo Yamada, Kazufumi Kobashi, Motoo Yumura, Kenji Hata
9	2011	Macular Ganglion Cell-Inner Plexiform Layer: Automated Detection and Thickness Reproducibility with Spectral-Domain Optical Coherence Tomography in Glaucoma.	Jea-Claude Mwanza, Jonathan D Oakley, Donald L Budenz, Robert T Chang, O'Rese J Knight, William J Feuer
10	2011	Maggie: A Social Robot as a Gaming Platform	V Gonzalez-Pacheco, Arnaud Ramey, F Alonso-Martin, A Castro-Gonzalez, Miguel A Salichs
11	2011	Magic Quadrant for Social CRM	Gartner Ras, G Note, Adam Sarner, Ed Thompson, Jeffrey Mann, Michael Dunne
11	2011	Magic Quadrants and MarketScopes : How Gartner Evaluates Vendors Within a Market	Charles Smulders
11	2012	Magnesium-antimony liquid metal battery for stationary energy storage.	David J Bradwell, Hojong Kim, Aislinn H C Sirk, Donald R Sadoway
13	2011	Magnetic Cellular Automata Wire Architectures	Javier F Pulecio, Pruthvi K Pendru, Anita Kumari, Sanjukta Bhanja
13	2011	Magnetic control of particle-injection in plasma based accelerators	J Vieira, S F Martins, V B Pathak, R A Fonseca, W B Mori, L O Silva
14	2011	Magnetic field based heading estimation for pedestrian navigation environments	Muhammad Haris Afzal, Valerie Renaudin, Gerard Lachapelle
15	2011	Magnetic field imaging with nitrogen-vacancy ensembles	L M Pham, D Le Sage, P L Stanwix, T K Yeung, D Glenn, A Trifonov
15	2011	Magnetic field insensitivity of magnetic domain wall velocity induced by electrical current in Co/Ni nanowire	T Koyama, D Chiba, K Ueda, H Tanigawa, S Fukami, T Suzuki
16	2011	Magnetic Flux Estimation in a Permanent Magnet Synchronous Machine Using Field Reconstruction Method	Amir Khoobroo, Babak Fahimi
16	2012	Magnetic helical micromachines: fabrication, controlled swimming, and cargo transport.	Soichiro Tottori, Li Zhang, Famin Qiu, Krzysztof K Krawczyk, Alfredo Franco-Obregón, Bradley J Nelson
17	2011	Magnetic levitation of metamaterial bodies enhanced with magnetostatic surface resonances	Yaroslav Urzhumov, Wenchen Chen, Chris Bingham, Willie Padilla, David R Smith
17	2011	Magnetic manipulation and spatial patterning of multi-cellular stem cell aggregates.	Andrés M Bratt-Leal, Kirsten L Kepple, Richard L Carpenedo, Marissa T Cooke, Todd C McDevitt
18	2011	Magnetic multicore nanoparticles for hyperthermia--influence of particle immobilization in tumour tissue on magnetic properties.	Silvio Dutz, Melanie Kettering, Ingrid Hilger, Robert Müller, Matthias Zeisberger
18	2011	Magnetic nanostructures for advanced technologies: fabrication, metrology and challenges	June W Lau, Justin M Shaw
19	2011	Magnetic order: Surfaces get hairy	Christian Pfleiderer
19	2012	Magnetic Particle Imaging	Bernhard Gleich
19	2011	Magnetic plasmon in coupled nanosandwich structure	Liu Qiu, Shuming Wang, Hui Liu, Tao Li, Shining Zhu, Xiang Zhang
