0	2011	n-Channel semiconductor materials design for organic complementary circuits.	Hakan Usta, Antonio Facchetti, Tobin J Marks
0	2012	n-Doping of Organic Electronic Materials using Air-Stable Organometallics.	Song Guo, Sang Bok Kim, Swagat K Mohapatra, Yabing Qi, Tissa Sajoto, Antoine Kahn
0	2011	N-face GaN nanorods: Continuous-flux MOVPE growth and morphological properties	W Bergbauer, M Strassburg, Ch Kölper, N Linder, C Roder, J Lähnemann
0	2012	n-GaAs/InGaP/p-GaAs Core-Multishell Nanowire Diodes for Efficient Light-to-Current Conversion	Christoph Gutsche, Andrey Lysov, Daniel Braam, Ingo Regolin, Gregor Keller, Zi-An Li
2	2011	n-Type Transition Metal Oxide as a Hole Extraction Layer in PbS Quantum Dot Solar Cells.	Jianbo Gao, Craig L Perkins, Joseph M Luther, Mark C Hanna, Hsiang-Yu Chen, Octavi E Semonin
2	2011	n-Type transparent conducting films of small molecule and polymer amine doped single-walled carbon nanotubes.	Kevin S Mistry, Brian A Larsen, Jeremy D Bergeson, Teresa M Barnes, Glenn Teeter, Chaiwat Engtrakul
2	2011	N170 effects during exact and approximate calculation tasks: an ERP study.	Wei-qi He, Wen-bo Luo, Hua-min He, Xu Chen, Da-jun Zhang
2	2011	N400 and the activation of prejudice against rural migrant workers in China.	Lei Wang, Qingguo Ma, Zhaofeng Song, Yisi Shi, Yi Wang, Lydia Pfotenhauer
2	2011	N400-like potentials and reaction times index semantic relations between highly repeated individual words.	Louis Renoult, J Bruno Debruille
3	2012	Na-ion batteries, recent advances and present challenges to become low cost energy storage systems	Verónica Palomares, Paula Serras, Irune Villaluenga, Karina B Hueso, Javier Carretero-González, Teófilo Rojo
3	2011	naiveBayesCall: an efficient model-based base-calling algorithm for high-throughput sequencing.	Wei-Chun Kao, Yun S Song
3	2011	Name analysis to classify populations by ethnicity in public health: Validation of Onomap in Scotland	F Lakha,  Gorman, P Mateos
3	2011	Name that tune: decoding music from the listening brain.	Rebecca S Schaefer, Jason Farquhar, Yvonne Blokland, Makiko Sadakata, Peter Desain
4	2011	Named Entity Recognition in Tweets : An Experimental Study	Alan Ritter, Sam Clark, Oren Etzioni
4	2011	Nano Ag loaded PVA nano-fibrous mats for skin applications.	Thi-Hiep Nguyen, Young-Hee Kim, Ho-Yeon Song, Byong-Taek Lee
5	2011	Nano-combinatorial and catalyst screening technologies.	Bing Yan
5	2011	Nano-engineered electron–hole exchange interaction controls exciton dynamics in core–shell semiconductor nanocrystals	S Brovelli, R D Schaller, S A Crooker, F García-Santamaría, Y Chen, R Viswanatha
6	2011	Nano-grass polyimide-based humidity sensors	Hyemin Lee, Sungjun Lee, Seungwon Jung, Junghoon Lee
6	2011	Nano-opto-mechanical actuator driven by optical radiation force	X Zhao, J M Tsai, H Cai, X M Ji, J Zhou, M H Bao
7	2011	Nano-photocatalytic materials: possibilities and challenges.	Hua Tong, Shuxin Ouyang, Yingpu Bi, Naoto Umezawa, Mitsutake Oshikiri, Jinhua Ye
7	2012	Nano-plasmonic antennas in the near infrared regime	N Berkovitch, P Ginzburg, M Orenstein
7	2011	Nano-porous indium(III) metal-organic framework as a novel precursor for synthesis of In2O3 nanoparticles	Mohammad Sadegh Yazdan Parast, Ali Morsali
7	2011	Nano-power Wake-Up Radio circuit for Wireless Body Area Networks	Stevan Marinkovic, Emanuel Popovici
7	2011	Nano-Power Wireless Wake-Up Receiver With Serial Peripheral Interface	Stevan J Marinkovic, Emanuel M Popovici
