1	2011	O N E XPLOITING C OGNITIVE R ADIO TO M ITIGATE I NTERFERENCE IN M ACRO / FEMTO H ETEROGENEOUS N ETWORKS	S H I N I N G C Heng, S H O U U L Ien, F E N G E N G C Hu, K Wang Heng C Hen
1	2011	O(N) methods in electronic structure calculations	D R Bowler, T Miyazaki
1	2011	O. Ivar lovaas: pioneer of applied behavior analysis and intervention for children with autism.	Tristram Smith, Svein Eikeseth
2	2011	OAuth and ABE Based Authorization in Semi-Trusted Cloud Computing Categories and Subject Descriptors	Anuchart Tassanaviboon
3	2011	Obesity-promoting food environments and the spatial clustering of food outlets around schools.	Peter L Day, Jamie Pearce
3	2011	Obfuscation: The Hidden Malware	Philip OKane, Sakir Sezer, Kieran McLaughlin
4	2011	Object cosegmentation	Sara Vicente, Carsten Rother, Vladimir Kolmogorov
4	2011	Object decoding with attention in inferior temporal cortex.	Ying Zhang, Ethan M Meyers, Narcisse P Bichot, Thomas Serre, Tomaso A Poggio, Robert Desimone
4	2011	Object detection and segmentation from joint embedding of parts and pixels	Michael Maire, Stella X Yu, Pietro Perona
4	2011	Object detection by parts using appearance, structural and shape features	Li He, Hui Wang, Hong Zhang
4	2011	Object detection grammars	Pedro Felzenszwalb
5	2011	Object mapping, recognition, and localization from tactile geometry	Zachary Pezzementi, Caitlin Reyda, Gregory D Hager
6	2011	Object Recognition and Selection Method by Gaze Tracking and SURF Algorithm	Hwan Heo, Won Oh Lee, Ji Woo Lee, Kang Ryoung Park, Eui Chul Lee, Mincheol Whang
7	2011	Object recognition with hierarchical kernel descriptors	Liefeng Bo, Kevin Lai, Xiaofeng Ren, Dieter Fox
7	2011	Object segmentation by alignment of poselet activations to image contours	Thomas Brox, Lubomir Bourdev, Subhransu Maji, Jitendra Malik
7	2011	Object segmentation in video: A hierarchical variational approach for turning point trajectories into dense regions	Peter Ochs, Thomas Brox
8	2011	Object Stereo — Joint Stereo Matching and Object Segmentation	Michael Bleyer
9	2012	Object-based attention: A tutorial review.	Zhe Chen
10	2011	Object-Oriented Electrical Grid and Photovoltaic system modelling in Modelica	Bart Verbruggen, Juan Van Roy, Roel De Coninck, Ruben Baetens, Lieve Helsen, Johan Driesen
10	2011	Object-oriented landmark recognition for UAV-navigation	E Michaelsen, K Jäger, D Roschkowski, L Doktorski, M Arens
