0	2011	"Chemical Blowing" of Thin-Walled Bubbles: High-Throughput Fabrication of Large-Area, Few-Layered BN and C(x) -BN Nanosheets.	Xuebin Wang, Chunyi Zhi, Liang Li, Haibo Zeng, Chun Li, Masanori Mitome
2	2011	"One cell-one well": a new approach to inkjet printing single cell microarrays.	Albert R Liberski, Joseph T Delaney, Ulrich S Schubert
2	2011	"Overshoot" of O2 Is Required to Maintain Baseline Tissue Oxygenation at Locations Distal to Blood Vessels	A Devor, S Sakadzic, P A Saisan, M A Yaseen, E Roussakis, V J Srinivasan
2	2011	"Relevance vector machine" consciousness classifier applied to cerebral metabolism of vegetative and locked-in patients.	Christophe L Phillips, Marie-Aurelie Bruno, Pierre Maquet, Mélanie Boly, Quentin Noirhomme, Caroline Schnakers
3	2011	"You Might Also Like:" Privacy Risks of Collaborative Filtering	Joseph A Calandrino, Ann Kilzer, Arvind Narayanan, Edward W Felten, Vitaly Shmatikov
3	2011	"Zero ischemia" partial nephrectomy: novel laparoscopic and robotic technique.	Inderbir S Gill, Manuel S Eisenberg, Monish Aron, Andre Berger, Osamu Ukimura, Mukul B Patil
4	2011	'Fab-chips': a versatile, fabric-based platform for low-cost, rapid and multiplexed diagnostics.	Paridhi Bhandari, Tanya Narahari, Dhananjaya Dendukuri
4	2012	'Giant' CdSe/CdS core/shell nanocrystal quantum dots as efficient electroluminescent materials: strong influence of shell thickness on light-emitting diode performance.	Bhola N Pal, Yagnaseni Ghosh, Sergio Brovelli, Rawiwan Laocharoensuk, Victor I Klimov, Jennifer A Hollingsworth
5	2011	'Next-generation' sequencing becomes 'now-generation'	Daniel E Neafsey, Brian J Haas
5	2012	( How ) Will the Revolution be Retweeted ? Information Diffusion and the 2011 Egyptian Uprising	Kate Starbird
6	2011	( PEDOT ) polymer coatings facilitate smaller neural recording electrodes	Kip A Ludwig, Nicholas B Langhals, Mike D Joseph, Sarah M Richardson-burns, Jeffrey L Hendricks, Daryl R Kipke
6	2011	(18)F-FDG PET/MRI fusion in characterizing pancreatic tumors: comparison to PET/CT.	Mitsuaki Tatsumi, Kayako Isohashi, Hiromitsu Onishi, Masatoshi Hori, Tonsok Kim, Ichiro Higuchi
6	2012	(Al,In)GaN laser diodes with optimized ridge structures	Katarzyna Holc, Klaus Köhler, Wilfried Pletschen, Joachim Wagner, Ulrich T Schwarz
6	2011	(Micro)managing the mechanical microenvironment.	Christopher Moraes, Yu Sun, Craig A Simmons
7	2011	1 . 12 Tb / s superchannel coherent PM-QPSK InP transmitter photonic integrated circuit ( PIC )	P Evans, M Fisher, R Malendevich, A James, G Goldfarb, T Vallaitis
8	2011	1,4-Fullerene derivatives: tuning the properties of the electron transporting layer in bulk-heterojunction solar cells.	Alessandro Varotto, Neil D Treat, Jang Jo, Christopher G Shuttle, Nicolas A Batara, Fulvio G Brunetti
8	2011	1-D transforms for the motion compensation residual.	Fatih Kamisli, Jae S Lim
8	2011	1-Million droplet array with wide-field fluorescence imaging for digital PCR	Andrew C Hatch, Jeffrey S Fisher, Armando R Tovar, Albert T Hsieh, Robert Lin, Stephen L Pentoney
8	2011	1-Point-RANSAC Structure from Motion for Vehicle-Mounted Cameras by Exploiting Non-holonomic Constraints	Davide Scaramuzza
9	2011	1.24-Tb/s hybrid SCM/WDM passive optical networks	Zhaowen Xu, Xiaofei Cheng, Yong-Kee Yeo, Luying Zhou, Xu Shao, Hongguang Zhang
9	2011	1.3 m InAs/GaAs quantum dot lasers on Si substrates with current injection across direct-bonded GaAs/Si heterointerfaces	Katsuaki Tanabe, Katsuyuki Watanabe, Stephane Faure, Yasuhiko Arakawa
9	2011	1.3-μm InAs/GaAs quantum-dot lasers monolithically grown on Si substrates	Ting Wang, Huiyun Liu, Andrew Lee, Francesca Pozzi, Alwyn Seeds
11	2011	10 224-Gb/s POLMUX-16QAM Transmission Over 656 km of Large- A_ eff PSCF With a Spectral Efficiency of 5.6 b/s/Hz	V A J M Sleiffer, M S Alfiad, D Van Den Borne, M Kuschnerov, V Veljanovski, M Hirano
11	2011	10 Channel, 100Gbit/s per channel, dual polarization, coherent QPSK, monolithic InP receiver photonic integrated circuit	Radhakrishnan Nagarajan, Damien Lambert, Masaki Kato, Vikrant Lal, Gilad Goldfarb, Jeff Rahn
11	2011	10 Gb/s transmission and thermo-optic resonance tuning in silicon-plasmonic waveguide platform	D Kalavrouziotis, G Giannoulis, D Apostolopoulos, S Papaioannou, A Kumar, S Bozhevolnyi
11	2011	10 Gbps SOA-REAM using monolithic integration of planar buried-heterostructure SOA with deep-ridge waveguide EA modulator for colourless optical source in WDM-PON	Dong Churl Kim, Hyun-Soo Kim, Ki Soo Kim, Byung-Seok Choi, Jong-Sool Jeong, O-Kyun Kwon
11	2011	10 GHz Pulse Source for 640 Gbit / s OTDM based on LiNbO 3 Modulators and Self-Phase Modulation	H Hu, H C Hansen Mulvad, C Peucheret, M Galili, A T Clausen, P Jeppesen
11	2011	10 Lessons from 10 Years of Measuring and Modeling the Internet's Autonomous Systems	Matthew Roughan, Walter Willinger, Olaf Maennel, Debbie Perouli, Randy Bush
12	2011	10,000-fold concentration increase of the biomarker cardiac troponin I in a reducing union microfluidic chip using cationic isotachophoresis.	Danny Bottenus, Talukder Zaki Jubery, Yexin Ouyang, Wen-Ji Dong, Prashanta Dutta, Cornelius F Ivory
12	2011	10-Gb/s Error-Free Silicon Optical Modulator for Both TE and TM Polarized Light	G Rasigade, M Ziebell, D Marris-Morini, A Brimont, A M Gutierrez Campo, P Sanchis
12	2012	10-Gbps Single-Feeder , Full-Duplex WDM-PON Using Directly Modulated Laser and RSOA	Zaineb Al-qazwini, Hoon Kim
12	2011	10-GHz AlGaInAs / InP 1 . 55 μm Passively Mode- Locked Laser with Low Divergence Angle and Timing Jitter	Lianping Hou, Mohsin Haji, John H Marsh, A Catrina Bryce
12	2011	100 Gb/s photoreceivers for coherent and direct detection	H G Bach, R Kunkel, G G Mekonnen, R Zhang, D Schmidt
13	2011	100% Renewable energy systems, climate mitigation and economic growth	Brian Vad Mathiesen, Henrik Lund, Kenneth Karlsson
13	2011	100-Gbit/s PDM-QPSK coherent receiver with wide dynamic range and excellent common-mode rejection ratio	Koichi Murata, Takashi Saida, Kimikazu Sano, Ikuo Ogawa, Hiroyuki Fukuyama, Ryoichi Kasahara
13	2011	100-Gbps CMOS transceiver for multilane optical backplane system with 1.3-cm2 footprint	Takashi Takemoto, Fumio Yuki, Hiroki Yamashita, Shinji Tsuji, Yong Lee, Koichiro Adachi
13	2011	1000-fps target tracking using vibration-based image features	Idaku Ishii, Ikuya Ohara, Tetsuro Tatebe, Takeshi Takaki
13	2012	103-Gb / s Long-Reach WDM PON Implemented by Using Directly Modulated RSOAs	Keun Yeong Cho, Student Member, Ui Hyun Hong, Yuichi Takushima, Akira Agata, Takayuki Sano
14	2011	10Gb/s over 513km uncompensated SSMF link using direct modulation and direct detection	L Anet Neto, P Chanclou, N Brochier, N Genay, J L Barbey, B Charbonnier
14	2011	10Gb/s transmission over 20km single fiber link using 1GHz RSOA by discrete multitone with multiple access	M-K Hong, N C Tran, Y Shi, E Tangdiongga, S-K Han, A M J Koonen
14	2011	10Gbps bias-free all-optical wavelength conversion using InP-microdisk resonators heterogeneously integrated onto SOI	R Kumar, T Spuesens, P Mechet, P Regreny, N Olivier, J M Fedeli
14	2011	10th anniversary issue: Korea.	Andrew deMello, Hywel Morgan
14	2011	10x10nm 2 Hf / HfO x Crossbar Resistive RAM with Excellent Performance , Reliability and Low-Energy Operation	B Govoreanu, G S Kar, Y-y Chen, V Paraschiv, S Kubicek, A Fantini
14	2011	10_Pacheco S._SiGe for radar_2011	Sergio Pacheco, Ralf Reuter, Saverio Trotta, Didier Salle, Jay John
14	2011	110 GHz measurement of large-area graphene integrated in low-loss microwave structures	H S Skulason, H V Nguyen, A Guermoune, V Sridharan, M Siaj, C Caloz
14	2011	112 Gb/s PM-QPSK transmission up to 6000 km with 200 km amplifier spacing and a hybrid fiber span configuration	John D Downie, Jason Hurley, John Cartledge, Scott Bickham, Snigdharaj Mishra
14	2011	112 Gbit/s RF assisted dual carrier DP-16-QAM transmitter using optical phase modulator	Bengt-Erik Olsson, Anders Djupsjobacka, Jonas Martensson, Arne Alping
14	2011	112-Gb / s WDM Transmission over 50 km of Three- Mode Fiber with Inline Few-Mode Fiber Amplifier	Ezra Ip, Neng Bai, Yue-kai Huang, Eduardo Mateo, Fatih Yaman, Ming-jun Li
15	2011	112-Tb / s ( 7x160x107Gb / s ) Space-Division Multiplexed DWDM Transmission over a 76 . 8-km Multicore Fiber	B Zhu, X Liu, S Chandrasekhar, T F Taunay, M Fishteyn, M F Yan
15	2011	12.5 Gbps indoor optical wireless communication system with single channel imaging receiver	Ke Wang, Ampalavanapillai Nirmalathas, Christina Lim, Efstratios Skafidas
15	2012	12.5-Gb/s operation with 0.29-V·cm V(π)L using silicon Mach-Zehnder modulator based-on forward-biased pin diode.	Suguru Akiyama, Takeshi Baba, Masahiko Imai, Takeshi Akagawa, Masashi Takahashi, Naoki Hirayama
15	2011	12.6% efficient CdS/Cu(In,Ga)S2-based solar cell with an open circuit voltage of 879mV prepared by a rapid thermal process	S Merdes, R Mainz, J Klaer, A Meeder, H Rodriguez-Alvarez, H W Schock
16	2011	1200-V Normally Off GaN-on-Si Field-Effect Transistors With Low Dynamic on -Resistance	Rongming Chu, Andrea Corrion, Mary Chen, Ray Li, Danny Wong, Daniel Zehnder
16	2012	1200km Transmission of 50GHz spaced , 5 × 64 hybrid QAM using Electrical and Optical Spectral Shaping	X Zhou, L E Nelson, R Isaac, P Magill, B Zhu, D W Peckham
16	2011	128 8 split and 80 km long-reach dual-rate 10G-EPON transmission using ALC hybrid burst-mode optical fiber amplifier and SOA pre-amplifier	Ken-Ichi Suzuki, Masamichi Fujiwara, Katsuhisa Taguchi, Takeshi Imai, Hiroshi Ishii, Naoto Yoshimoto
16	2011	13 C hyperfine interactions in the nitrogen-vacancy centre in diamond	Benjamin Smeltzer, Lilian Childress, Adam Gali
17	2011	15 GHz medium power amplifier design for Ku-band applications	S Rasidah, Amiza Rasmi, M H Siti Maisurah, A I A Rahim, M R Yahya
17	2011	15.4 Tb/s transmission over 2400 km using polarization multiplexed 32-Gbaud 16-QAM modulation and coherent detection comprising digital signal processing	K Schuh, F Buchali, D Roesener, E Lach, O Bertran-Pardo, J Renaudier
17	2011	16.9 A Short-Range UWB Impulse-Radio CMOS Sensor for Human Feature Detection	Human Feature Detection
18	2011	160-Gb/s orthogonal time-frequency domain multiplexed QPSK for ultra-high-spectral-efficient transmission	Takahide Sakamoto, Atsushi Kanno, Tetsuya Kawanishi, Nicolas K Fontaine, David J Geisler, Ryan P Scott
18	2012	19 %‐ efficient and 43 µm ‐ thick crystalline Si solar cell from layer transfer using porous silicon	Jan Hendrik Petermann, Dimitri Zielke, Jan Schmidt, Felix Haase, Enrique Garralaga Rojas, Rolf Brendel
19	2011	19.7% Efficient All-Screen-Printed Back-Contact Back-Junction Silicon Solar Cell With Aluminum-Alloyed Emitter	R Woehl, J Krause, F Granek, D Biro
