1	2011	p-Type modulation doped InGaN/GaN dot-in-a-wire white-light-emitting diodes monolithically grown on Si(111).	H P T Nguyen, S Zhang, K Cui, X Han, S Fathololoumi, M Couillard
1	2012	P-type nitrogen-doped ZnO nanoparticles stable under ambient conditions.	Benoit Chavillon, Laurent Cario, Adèle Renaud, Franck Tessier, François Cheviré, Mohammed Boujtita
2	2012	P1 and beyond: Functional separation of multiple emotion effects in word recognition.	Mareike Bayer, Werner Sommer, Annekathrin Schacht
2	2012	P2-type Nax[Fe1/2Mn1/2]O2 made from earth-abundant elements for rechargeable Na batteries	Naoaki Yabuuchi, Masataka Kajiyama, Junichi Iwatate, Heisuke Nishikawa, Shuji Hitomi, Ryoichi Okuyama
2	2012	P2012 : Building an Ecosystem for a Scalable , Modular and high-efficiency Embedded Computing Accelerator	Luca Benini, Eric Flamand, Didier Fuin, Diego Melpignano
2	2011	P2030 Draft Guide for Smart Grid Interoperability of Energy Technology and Information Technology Operation with the Electric Power System (EPS)	Coordinating Committee, Fuel Cells, Dispersed Generation, Energy Storage, Ieee-sa Standards Board
2	2011	P2DAP Sybil Attacks Detection in Vehicular Ad Hoc Networks	Tong Zhou, Romit Roy Choudhury, Peng Ning, Krishnendu Chakrabarty
3	2011	P2P network for storage and query of a spatio-temporal flow of events	Ayis Ziotopoulos, Gustavo De Veciana
3	2011	P300 amplitude is insensitive to working memory load in schizophrenia	Pablo A Gaspar, Sergio Ruiz, Francisco Zamorano, Marcela Altayó, Carolina Pérez, Conrado A Bosman
4	2011	P300 as a measure of processing capacity in auditory and visual domains in specific language impairment.	Julia L Evans, Craig Selinger, Seth D Pollak
4	2011	P300 audio-visual speller.	A Belitski, J Farquhar, P Desain
4	2011	P300 deficits in adults with attention deficit hyperactivity disorder: a meta-analysis.	B Szuromi, P Czobor, S Komlósi, I Bitter
4	2012	P3HT Nanopillars for Organic Photovoltaic Devices Nanoimprinted by AAO Templates	Dian Chen, Wei Zhao, Thomas P Russell
5	2011	P3HT:PCBM, Best Seller in Polymer Photovoltaic Research	Minh Trung Dang, Lionel Hirsch, Guillaume Wantz
5	2012	p53 Dynamics Control Cell Fate	J E Purvis, K W Karhohs, C Mock, E Batchelor, A Loewer, G Lahav
6	2011	Pacemaker Neurons for the Theta Rhythm and Their Synchronization in the Septohippocampal Reciprocal Loop Pacemaker Neurons for the Theta Rhythm and Their Synchronization in the Septohippocampal Reciprocal Loop	Xiao-jing Wang, Vincent Villette, Frédérique Poindessous-jazat, Axelle Simon, Clément Léna, Elodie Roullot
6	2012	PACEUP-3DEPI : A highly Accelerated 3D-EPI Sequence for fMRI at 7T	Mayur Narsude, José Marques, Wietske Van Der Zwaag, Tobias Kober, Rolf Gruetter
6	2011	Packaged Monolithic Silicon 112-Gb/s Coherent Receiver	C R Doerr, L L Buhl, Y Baeyens, R Aroca, S Chandrasekhar, X Liu
6	2011	Packaged silica microsphere-taper coupling system for robust thermal sensing application.	Ying-Zhan Yan, Chang-Ling Zou, Shu-Bin Yan, Fang-Wen Sun, Zhe Ji, Jun Liu
6	2011	Packaging and Assembly for Integrated PhotonicsA Review of the ePIXpack Photonics Packaging Platform	Lars Zimmermann, Giovan Battista Preve, Tolga Tekin, Thomas Rosin, Kennedy Landles
8	2012	Packet-Hiding Methods for Preventing Selective Jamming Attacks	Alejandro Proano, Loukas Lazos
8	2011	Packets in Packets : Orson Welles ’ In-Band Signaling Attacks for Modern Radios	Travis Goodspeed, Sergey Bratus, Ricky Melgares, Rebecca Shapiro, Ryan Speers
9	2011	Page Placement in Hybrid Memory Systems	Luiz Ramos, Eugene Gorbatov, Ricardo Bianchini
9	2011	Pain Attenuation through Mindfulness is Associated with Decreased Cognitive Control and Increased Sensory Processing in the Brain.	Tim Gard, Britta K Hölzel, Alexander T Sack, Hannes Hempel, Sara W Lazar, Dieter Vaitl
10	2012	Paintable Battery	Neelam Singh, Charudatta Galande, Andrea Miranda, Akshay Mathkar, Wei Gao, Arava Leela Mohana Reddy
10	2011	Painted steel mounted dye sensitised solar cells: titanium metallisation using magnetron sputtering	T M Watson, G J Reynolds, D A Worsley
12	2011	Palladium-based plasmonic perfect absorber in the visible wavelength range and its application to hydrogen sensing.	Andreas Tittl, Patrick Mai, Richard Taubert, Daniel Dregely, Na Liu, Harald Giessen
12	2011	PALM and STORM: unlocking live-cell super-resolution.	Ricardo Henriques, Caron Griffiths, E Hesper Rego, Musa M Mhlanga
12	2011	Palm surface area database and estimation formula in Korean children using the alginate method.	Hyuk Choi, Man Sik Park, Bonghyun Nam, Jungbok Lee, Eunhi Kim, Heung-Man Lee
12	2011	Palus: a hybrid automated test generation tool for java	Sai Zhang
13	2011	Panchromatic and Multispectral Image Fusion Based on Maximization of Both Spectral and Spatial Similarities	M Fauvel, J A Benediktsson, J Chanussot, J R Sveinsson
14	2011	Paper based point-of-care testing disc for multiplex whole cell bacteria analysis.	Chen-zhong Li, Katherine Vandenberg, Shradha Prabhulkar, Xuena Zhu, Lisa Schneper, Kalai Methee
14	2011	Paper electronics.	Daniel Tobjörk, Ronald Österbacka
14	2011	Paper on a disc: balancing the capillary-driven flow with a centrifugal force	Hyundoo Hwang, Seung-hoon Kim, Tae-hyeong Kim, Je-kyun Park, Yoon-kyoung Cho
14	2011	Paper terahertz wave plates	Benedikt Scherger, Maik Scheller, Nico Vieweg, Steven T Cundiff, Martin Koch
14	2011	Paper-based piezoresistive MEMS force sensors	Xinyu Liu, Martin Mwangi, XiuJun Li, Michael O'Brien, George M Whitesides
14	2011	Papyrus : A Software Platform for Distributed Dynamic Spectrum Sharing Using SDRs	Lei Yang, Zengbin Zhang, Wei Hou, Ben Y Zhao, Haitao Zheng
15	2011	Paradigm shift in translational neuroimaging of CNS disorders.	Unal Sakoğlu, Jaymin Upadhyay, Chih-Liang Chin, Prasant Chandran, Scott J Baker, Todd B Cole
15	2011	Paradigm shift in urban energy systems through distributed generation: Methods and models	Massimiliano Manfren, Paola Caputo, Gaia Costa
15	2011	Paradigm Shifts in Dye-Sensitized Solar Cells	M D McGehee
