0	2011	Q -Switched DFB Fiber Laser Based on a Shape Memory Alloy Optical Fiber Phase Modulator	Alex Fraser, R X E Al Vallee, Jean-Daniel Deschenes, Martin Bernier, J X E R X F Me Genest, X C Ric Weynant
0	2011	Q S C ORES : Trading Dark Silicon for Scalable Energy Efficiency with Quasi-Specific Cores Categories and Subject Descriptors	Ganesh Venkatesh, Jack Sampson, Nathan Goulding-hotta, Sravanthi Kota Venkata, Michael Bedford Taylor, Steven Swanson
0	2011	Q-factor dependent Kerr switching of semiconductor microcavities	Emre Yuce, Georgios Ctistis, Julien Claudon, Maela Bazin, Jean-Michel Gerard, Willem L Vos
0	2011	Q-factor optimization for TM-like modes in pillar-based photonic crystal cavities with planar slot waveguides	D Mascoli, D Gerace, L C Andreani
0	2011	Q-learning based bidding algorithm for spectrum auction in cognitive radio	Zhe Chen, Robert C Qiu
1	2011	q-state Potts model metastability study using optimized GPU-based Monte Carlo algorithms	Ezequiel E Ferrero, Juan Pablo De Francesco, Nicolás Wolovick, Sergio A Cannas
1	2011	QDV - A QoS Enabled Packet Scheduling Scheme for Mobile WiMAX in UAV Swarms	Bjoern Dusza, Christian Wietfeld
1	2012	QoE Enhancement by Capacity Allocation and Piggyback Bandwidth Request in Audio – Video IP Transmission over the IEEE 802 . 16 BE Service	Toshiro Nunome, Shuji Tasaka
1	2011	QoE evaluation of high-definition IPTV services	Michal Ries, Peter Froehlich, Raimund Schatz
2	2011	QoE Prediction Model and its Application in Video Quality Adaptation over UMTS Networks	Asiya Khan, Lingfen Sun, Emmanuel Ifeachor
2	2011	QoE-aware Power Allocation Algorithm in Multiuser OFDM Systems	Lili Xie, Chunjing Hu, Wenjun Wu, Zhenning Shi
2	2011	QoE-driven Live and On-demand LTE Uplink Video Transmission	Ali El Essaili, Liang Zhou, Damien Schroeder, Eckehard Steinbach, Wolfgang Kellerer
3	2011	QoS Guaranteed Call Admission Control with Opportunistic Scheduling	Hao Wang, Lianghui Ding, Zhiwen Pan, Nan Liu, Xiaohu You
3	2011	QoS Provisioning for Multimedia Transmission in Cognitive Radio Networks	F Richard Yu, Bo Sun, Vikram Krishnamurthy, Saqib Ali
3	2011	QoS Provisioning Relay Selection in Random Relay Networks	Sung-Rae Cho, Wan Choi, Kaibin Huang
3	2011	QoS Requirements for the Smart Grid Communications System	Yong-hee Jeon
4	2011	QoS swarm bee routing protocol for Wireless Sensor Networks	Rajesh Krishna Panta, Robert J Hall, Josh Auzins, Maria Fernandez
4	2011	QoS-Aware Dynamic Adaptation for Cooperative Media Streaming in Mobile Environments	Shiow-yang Wu, Cheng-en He
4	2011	QoS-Aware Fault-Tolerant Scheduling for Real-Time Tasks on Heterogeneous Clusters	Xiaomin Zhu, Xiao Qin, Meikang Qiu
4	2011	QoS-Aware Load Balancing in 3GPP Long Term Evolution Multi-Cell Networks	Hao Wang, Lianghui Ding, Ping Wu, Zhiwen Pan, Nan Liu, Xiaohu You
5	2011	QoS-Aware Scheduling and Resource Allocation for Video Streams in e-MBMS Towards LTE-A System	Chong Lou, Ling Qiu
5	2011	QoS-Enabled Dynamic Resource Management in Multi-Cell OFDMA-Based Systems	Su Yi, Gang Wang, Yong Xia
5	2011	QoX: What is it really?	Rafal Stankiewicz, Piotr Cholda, Andrzej Jajszczyk
6	2011	QPSK phase and amplitude regeneration at 56 Gbaud in a novel idler-free non-degenerate phase sensitive amplifier	Joseph Kakande, Adonis Bogris, Radan Slavik, Francesca Parmigiani, Dimitris Syvridis, Mats Skold
7	2011	Quadrocopter Hovering Using Position-estimation Information from Inertial Sensors and a High-delay Video System	Matevž Bošnak, Drago Matko, Sašo Blažič
7	2011	Quadrocopter Trajectory Generation and Control	Markus Hehn, Raffaello D Andrea
8	2011	Qualification of FTIR spectroscopic method for protein secondary structural analysis.	Yijia Jiang, Cynthia Li, Xichdao Nguyen, Salman Muzammil, Ed Towers, John Gabrielson
10	2011	Quality assurance and quality control for thermal/optical analysis of aerosol samples for organic and elemental carbon.	Judith C Chow, John G Watson, Jerome Robles, Xiaoliang Wang, L-W Antony Chen, Dana L Trimble
11	2011	Quality Indicators in Laboratory Medicine: from theory to practice. Preliminary data from the IFCC Working Group Project "Laboratory Errors and Patient Safety".	Laura Sciacovelli, Maurice O'Kane, Younis Abdelwahab Skaik, Patrizio Caciagli, Cristina Pellegrini, Giorgio Da Rin
12	2012	Quality of Experience of VoIP Service: A Survey of Assessment Approaches and Open Issues	Sofiene Jelassi, Gerardo Rubino, Hugh Melvin, Habib Youssef, Guy Pujolle
13	2012	Quality-Assured Cloud Bandwidth Auto-Scaling for Video-on-Demand Applications	Di Niu, Baochun Li, Shuqiao Zhao
14	2011	Quality-controlled view interpolation for multiview video	Mina Makar, Yao-Chung Lin, Ngai-Man Cheung, Derek Pang, Bernd Girod
14	2011	Quality-Oriented Video Delivery over LTE Using Adaptive Modulation and Coding	Amit Pande, Vishwanath Ramamurthi, Prasant Mohapatra
15	2011	Quantification of accuracy and precision of multi-center DTI measurements: a diffusion phantom and human brain study.	Tong Zhu, Rui Hu, Xing Qiu, Michael Taylor, Yuen Tso, Constantin Yiannoutsos
15	2011	Quantification of Behavior Sackler Colloquium: Variability, compensation, and modulation in neurons and circuits.	Eve Marder
15	2011	Quantification of brain macrostates using dynamical nonstationarity of physiological time series.	Charles-Francois Vincent Latchoumane, Jaeseung Jeong
16	2012	Quantification of coronary arterial stenoses in CTA using fuzzy distance transform.	Yan Xu, Guoyuan Liang, Guangshu Hu, Yan Yang, Jinzhao Geng, Punam K Saha
16	2011	Quantification of in vivo metabolic kinetics of hyperpolarized pyruvate in rat kidneys using dynamic (13) C MRSI.	Tao Xu, Dirk Mayer, Meng Gu, Yi-Fen Yen, Sonal Josan, James Tropp
