0	2011	R ESEARCH A RTICLE T HE E FFECTS OF T REE -V IEW B ASED P RESENTATION	A Daptation On, M Obile W Eb, Boonlit Adipat
0	2011	r-Kernel: An operating system foundation for highly reliable networked embedded systems	Qing Cao, Xiaorui Wang, Hairong Qi, Tian He
0	2011	R-MAC: A MAC Protocol for Power Reduction in Wireless Sensor Networks Based on Load Estimation and Its Performance Evaluation	Ahmed Ben Nacef, Sidi-Mohamed Senouci, Yacine Ghamri-Doudane, Andre-Luc Beylot
1	2011	Rabs, SNAREs and α-synuclein--membrane trafficking defects in synucleinopathies.	Christelle En Lin Chua, Bor Luen Tang
2	2011	Race, ethnicity, and NIH research awards.	Donna K Ginther, Walter T Schaffer, Joshua Schnell, Beth Masimore, Faye Liu, Laurel L Haak
2	2011	Racetrack memory cell array with integrated magnetic tunnel junction readout	A J Annunziata, M C Gaidis, L Thomas, C W Chien, C C Hung, P Chevalier
3	2011	Radar illusion via metamaterials.	Wei Xiang Jiang, Tie Jun Cui
4	2011	Radial basis function based level set interpolation and evolution for deformable modelling	Xianghua Xie, Xianghua Xie, Majid Mirmehdi
4	2011	Radially polarized optical vortex converter created by femtosecond laser nanostructuring of glass	Martynas Beresna, Mindaugas Gecevičius, Peter G Kazansky, Titas Gertus
5	2011	Radiation , Multimode Propagation , and Substrate Modes in W-Band CPW Calibrations	F J Schmückle, R Doerner, G N Phung, W Heinrich, D Williams, U Arz
6	2011	Radiation Fields	Radiation Fields
7	2011	Radiation necrosis following treatment of high grade glioma-a review of the literature and current understanding.	Alan Siu, Joshua J Wind, J Bryan Iorgulescu, Timothy A Chan, Yoshiya Yamada, Jonathan H Sherman
9	2011	Radiative defects in GaN nanocolumns: Correlation with growth conditions and sample morphology	P Lefebvre, S Fernández-Garrido, J Grandal, J Ristić, M A Sánchez-García, E Calleja
9	2011	Radiative heat transfer between dielectric bodies	Svend-Age Biehs
10	2011	Radio frequency and linearity performance of transistors using high-purity semiconducting carbon nanotubes.	Chuan Wang, Alexander Badmaev, Alborz Jooyaie, Mingqiang Bao, Kang L Wang, Kosmas Galatsis
10	2012	Radio frequency charge sensing in InAs nanowire double quantum dots	M Jung, M D Schroer, K D Petersson, J R Petta
11	2011	Radio frequency identification An innovative solution to guide dexterous prosthetic hands	Matthew S Trachtenberg, Girish Singhal, Rahul Kaliki, Ryan J Smith, Nitish V Thakor
11	2012	Radio Link Quality Estimation in Wireless Sensor Networks : a Survey	Nouha Baccour, Anis Koub Aa, Luca Mottola, Habib Youssef, Carlo Alberto Boano, M Ario
12	2011	Radio resource allocation schemes in 3G and 4G systems	Alam N Shaikh, Shrikant K Bodhe
12	2012	Radio Resource Management with Proportional Rate Constraint in the Heterogeneous Networks	Peng Xue, Peng Gong, Jae Hyun Park, Daeyoung Park, Duk Kyung Kim
13	2011	Radio-Frequency Transistors Using Chemical-Vapor-Deposited Monolayer Graphene: Performance, Doping, and Transport Effects	Osama M Nayfeh
14	2012	Radio-Wave Heating of Iron Oxide Nanoparticles Can Regulate Plasma Glucose in Mice	S A Stanley, J E Gagner, S Damanpour, M Yoshida, J S Dordick, J M Friedman
14	2011	Radioactivity backgrounds in ZEPLIN–III	H M Ara
15	2011	Radiofrequency lesioning for epileptogenic periventricular nodular heterotopia: A rational approach.	Friedhelm C Schmitt, Juergen Voges, Lars Buentjen, Friedrich Woermann, Heinz W Pannek, Martin Skalej
15	2011	Radiographic findings after breast augmentation by autologous fat transfer.	Michaël Veber, Christophe Tourasse, Gilles Toussoun, Michel Moutran, Ali Mojallal, Emmanuel Delay
15	2011	Radiology quiz case 2. Labyrinthitis ossificans secondary to suppurative labyrinthitis.	Nathan Page, Donald Kearns
16	2011	Radiometric calibration using photo collections	Mauricio Diaz, Peter Sturm
16	2011	RAG: An update to the RNA-As-Graphs resource	Joseph A Izzo, Namhee Kim, Shereef Elmetwaly, Tamar Schlick
17	2011	Rain or Snow Detection in Image Sequences Through Use of a Histogram of Orientation of Streaks	Jérémie Bossu, Nicolas Hautière, Jean-Philippe Tarel
17	2011	RAIphy: Phylogenetic classification of metagenomics samples using iterative refinement of relative abundance index profiles	Ozkan U Nalbantoglu, Samuel F Way, Steven H Hinrichs, Khalid Sayood
18	2011	Rakeness-based approach to compressed sensing of ECGs	Mauro Mangia, Javier Haboba, Riccardo Rovatti, Gianluca Setti
18	2012	RALF : A Reinforced Active Learning Formulation for Object Class Recognition	Sandra Ebert, Max Planck
18	2011	Raman 2D-Band Splitting in Graphene: Theory and Experiment	Otakar Frank, Marcel Mohr, Janina Maultzsch, Christian Thomsen, Ibtsam Riaz, Rashid Jalil
18	2012	Raman and coherent anti-Stokes Raman scattering microspectroscopy for biomedical applications	Christoph Krafft, Benjamin Dietzek, Michael Schmitt, Jürgen Popp
18	2011	Raman and emission characteristics of a-plane InGaN/GaN blue-green light emitting diodes on r-sapphire substrates	Yanqun Dong, Jae-Ho Song, Ho-Jong Kim, Tae-Soo Kim, Byung-Jun Ahn, Jung-Hoon Song
18	2011	Raman and photoluminescence characterization of focused ion beam patterned InGaN/GaN multi-quantum-wells nanopillar array	X H Wang, J Q Ning, S J Xu, H W Choi
19	2011	Raman intensity of graphene	Cinzia Casiraghi
19	2011	Raman measurements of thermal transport in suspended monolayer graphene of variable sizes in vacuum and gaseous environments.	Shanshan Chen, Arden L Moore, Weiwei Cai, Ji Won Suk, Jinho An, Columbia Mishra
22	2011	Raman spectroscopy of few-quintuple layer topological insulator Bi2Se3 nanoplatelets.	Jun Zhang, Zeping Peng, Ajay Soni, Yanyuan Zhao, Yi Xiong, Bo Peng
22	2011	Raman spectroscopy of lithographically patterned graphene nanoribbons.	Sunmin Ryu, Janina Maultzsch, Melinda Y Han, Philip Kim, Louis E Brus
23	2011	Raman spectroscopy on etched graphene nanoribbons	Dominik Bischoff, Johannes Güttinger, Susanne Dröscher, Thomas Ihn, Klaus Ensslin, Christoph Stampfer
23	2011	Raman Spectroscopy Study of Isolated Double-Walled Carbon Nanotubes with Different Metallic and Semiconducting Configurations	Duhee Yoon, Young-Woo Son, Hyeonsik Cheong
23	2012	Raman spectroscopy study of rotated double-layer graphene : Misorientation-angle dependence of electronic structure	Kwanpyo Kim, Sinisa Coh, Liang Z Tan, William Regan, Jong Min Yuk, Eric Chatterjee
24	2011	RAMPSoCVM: Runtime Support and Hardware Virtualization for a Runtime Adaptive MPSoC	Diana Gohringer, Stephan Werner, Michael Hubner, Jurgen Becker
24	2012	Random Access : An Information-Theoretic Perspective	Paolo Minero, Massimo Franceschetti, David N C Tse
24	2011	Random Access Capacity Evaluation with Synchronized MTC Users over Wireless Networks	R C D Paiva, R D Vieira, M Saily
24	2011	Random Access Compressed Sensing for Energy-Efficient Underwater Sensor Networks	Fatemeh Fazel, Maryam Fazel, Milica Stojanovic
24	2011	Random Access Heterogeneous MIMO Networks	Kate Ching-Ju Lin, Shyamnath Gollakota, Dina Katabi
24	2011	Random Access Protocols for Collaborative Spectrum Sensing in Multi-Band Cognitive Radio Networks	Rong-Rong Chen, Koon Hoo Teo, Behrouz Farhang-Boroujeny
24	2011	Random Access Remixing on the iPad	Jon Forsyth, Aron Glennon, Juan P Bello
24	2011	Random Asynchronous PSO	Juan Rada-Vilela, Mengjie Zhang, Winston Seah
27	2011	Random Network Coding in Peer-to-Peer Networks: From Theory to Practice	Baochun Li, Di Niu
27	2011	Random Noise Stimulation Improves Neuroplasticity in Perceptual Learning	A Fertonani, C Pirulli, C Miniussi
28	2012	Random Search for Hyper-Parameter Optimization	James Bergstra, Yoshua Bengio
29	2012	Random Walks based Multi-Image Segmentation : Quasiconvexity Results and GPU-based Solutions	Maxwell D Collins, Leo Grady, Vikas Singh
30	2012	Random walks on temporal networks	Michele Starnini, Andrea Baronchelli, Alain Barrat, Romualdo Pastor-Satorras
30	2011	Randomized algorithms for matrices and data	Michael W Mahoney
30	2011	Randomized algorithms for matrices and data arXiv : 1104 . 5557v2 [ cs . DS ] 2 May 2011	Michael W Mahoney
32	2012	Randomized Visual Phrases for Object Search	Yuning Jiang, Jingjing Meng, Junsong Yuan
34	2011	Ranking-Based Emotion Recognition for Music Organization and Retrieval	Y Yang, H Chen
