0	2011	S ERIES E DITORIAL	Rafael Uriarte, Fatna Belqasmi
0	2011	S PECTRUM S ENSING T ECHNIQUES IN C OGNITIVE R ADIO N ETWORKS : A S URVEY	Mansi Subhedar, Gajanan Birajdar
1	2011	S-DAWIN: A self-adapted distributed algorithm for data gathering in wireless sensor networks	M Goyeneche, J Villadangos, J J Astrain
2	2011	Saccadic suppression of displacement in face of saccade adaptation.	S Klingenhoefer, F Bremmer
2	2011	Saccharomyces cerevisiae as a Model Organism: A Comparative Study	Hiren Karathia, Ester Vilaprinyo, Albert Sorribas, Rui Alves
2	2011	Saccharomyces cerevisiae: a potential stereospecific reduction tool for biotransformation of mono- and sesquiterpenoids.	Guat Kheng Khor, Mohamad Hekarl Uzir
3	2011	SAE Technical Committee AE-8D Wire and Cable	Chairperson Joseph Kurek, Raytheon Co
3	2011	Safe and efficient supervised memory systems	Jayaram Bobba, Marc Lupon, Mark D Hill, David A Wood
3	2011	Safe and fast-charging Li-ion battery with long shelf life for power applications	K Zaghib, M Dontigny, A Guerfi, P Charest, I Rodrigues, A Mauger
3	2011	Safe driving in a green world: a review of driver performance benchmarks and technologies to support 'smart' driving.	Mark S Young, Stewart A Birrell, Neville A Stanton
4	2011	Safe Nondeterminism in a Deterministic-by-Default Parallel Language	Robert L Bocchino Jr., Stephen Heumann, Nima Honarmand, Sarita V Adve, Vikram S Adve, Adam Welc
4	2011	Safe Physical Human-Robot Interaction: Measurements, Analysis and New Insights	S Haddadin, A Albu-Schäffer, G Hirzinger
4	2011	Safety and efficacy of multiband mucosectomy in 1060 resections in Barrett's esophagus.	L Alvarez Herrero, R E Pouw, F G I Van Vilsteren, F J W Ten Kate, M Visser, C A Seldenrijk
5	2011	Safety assessment and pharmacodynamics of a novel ultra low molecular weight heparin (RO-14) in healthy volunteers--a first-time-in-human single ascending dose study.	Salvador Rico, Rosa Maria Antonijoan, Ignasi Gich, Montserrat Borrell, Jordi Fontcuberta, Mayte Monreal
5	2011	Safety controller synthesis for switched systems using multi-scale symbolic models	Javier Camara, Antoine Girard, Gregor Gossler
5	2012	Safety Management for Electric Vehicle Batteries in a Tropic Environment Measure	Nora Martiny, Patrick Osswald, Christian Huber, Andreas Jossen
6	2011	Sales Quotation	Gary L Witte
7	2012	Saliency detection via textural contrast.	Wonjun Kim, Changick Kim
7	2012	Saliency Filters : Contrast Based Filtering for Salient Region Detection	Federico Perazzi, Philipp Kr
7	2011	Saliency Modulated High Dynamic Range Image Tone Mapping	Yujie Mei, Guoping Qiu, Kin-Man Lam
7	2011	Salient coding for image classification	Yongzhen Huang, Kaiqi Huang, Yinan Yu, Tieniu Tan
7	2011	Salient feature region: a new method for retinal image registration.	Jian Zheng, Jie Tian, Kexin Deng, Xiaoqian Dai, Xing Zhang, Min Xu
8	2011	Salient object detection by composition	Jie Feng, Yichen Wei, Litian Tao, Chao Zhang, Jian Sun
9	2011	SAMMate: a GUI tool for processing short read alignments in SAM/BAM format	Guorong Xu, Nan Deng, Zhiyu Zhao, Thair Judeh, Erik Flemington, Dongxiao Zhu
9	2011	Sample drift correction in 3D fluorescence photoactivation localization microscopy.	Michael J Mlodzianoski, John M Schreiner, Steven P Callahan, Katarina Smolková, Andrea Dlasková, Jitka Santorová
10	2011	Sample Pretreatment and Nucleic Acid-Based Detection for Fast Diagnosis Utilizing Microfluidic Systems.	Jung-Hao Wang, Chih-Hung Wang, Gwo-Bin Lee
10	2011	SampleRank : Training Factor Graphs with Atomic Gradients	Michael Wick, Aron Culotta, Andrew Mccallum
11	2011	Sampling and Reconstructing Signals From a Union of Linear Subspaces	Thomas Blumensath
11	2012	Sampling Directed Graphs with Random Walks	Bruno Ribeiro, Pinghui Wang, Fabricio Murai, Don Towsley
14	2012	SAP : Smart Access Point with Seamless Load Balancing Multiple Interfaces	Xi Chen, Yue Zhao, Brian Peck, Daji Qiao
14	2011	SAQC: SNP Array Quality Control	Hsin-Chou Yang, Hsin-Chi Lin, Meijyh Kang, Chun-Houh Chen, Chien-Wei Lin, Ling-Hui Li
15	2011	SAR Image Despeckling Based on Local Homogeneous-Region Segmentation by Using Pixel-Relativity Measurement	Hongxiao Feng, Biao Hou, Maoguo Gong
15	2012	SAR Image Despeckling Based on Nonsubsampled Shearlet Transform	Biao Hou, Xiaohua Zhang, Xiaoming Bu, Hongxiao Feng
15	2011	SAR Image Despeckling Using Bayesian Nonlocal Means Filter With Sigma Preselection	Hua Zhong, Yongwei Li, Lc Jiao
