0	2011	U-shaped bilayer graphene channel transistor with very high Ion/Ioff ratio	Zakaria Moktadir, Stuart Boden, Mohammad Adel Ghiass, Harvey Rutt, Hiroshi Mizuta
0	2011	UAV attitude and position estimation for vision-based landing	Daquan Tang, Fei Li, Ning Shen, Shaojun Guo
1	2011	UAV guidance law for ground-based target trajectory tracking and loitering	Niki Regina, Matteo Zanzi
1	2011	UAV rotorcraft in compliant contact: Stability analysis and simulation	Paul E I Pounds, Aaron M Dollar
1	2011	UAV-based stereo vision for photogrammetric survey in aerial terrain mapping	Khairul Nizam Tahar, Anuar Ahmad, Wan Abdul Aziz Wan Mohd Akib
1	2011	UBAPV2G : A Unique Batch Authentication Protocol for Vehicle-to-Grid Communications	Huaqun Guo, Senior Member, Yongdong Wu, Feng Bao, Hongmei Chen, Maode Ma
2	2012	Ubicomp Systems at 20: Progress, Opportunities, and Challenges	Ramon Caceres, Adrian Friday
2	2011	Ubiquitous Advertising: The Killer Application for the 21st Century	John Krumm
3	2011	Ubiquitous computing: An overview of technology impacts	Michael Friedewald, Oliver Raabe
4	2012	UE's role in LTE advanced heterogeneous networks	Aleksandar Damnjanovic, Juan Montojo, Joonyoung Cho, Hyoungju Ji, Jin Yang, Pingping Zong
4	2011	UHF RFID localization system based on a phased array antenna	Rainer Kronberger, Thomas Knie, Roberto Leonardi, Uwe Dettmar, Markus Cremer, Salah Azzouzi
4	2011	UK Future Energy Scenarios	 National Grid
4	2011	UK Renewable Energy Roadmap	 Decc
5	2011	Ultimate performance of polymer:fullerene bulk heterojunction tandem solar cells	J D Kotlarski, P W M Blom
5	2011	Ultimate RF Performance Potential of Carbon Electronics	Siyuranga O Koswatta, Alberto Valdes-Garcia, Mathias B Steiner, Yu-Ming Lin, Phaedon Avouris
5	2011	Ultimate single-carrier recovery for coherent detection	Netta Sigron, Igor Zelniker, Moshe Nazarathy, Alik Gorshtein, Dan Sadot
5	2011	ultiphysics odeling	A First
5	2011	Ultra compact 45 GHz CMOS compatible Germanium waveguide photodiode with low dark current.	Christopher T DeRose, Douglas C Trotter, William A Zortman, Andrew L Starbuck, Moz Fisher, Michael R Watts
6	2011	Ultra high frequency phononic crystal in silicon carbide	N Kuo, S Gong, G Piazza
6	2011	Ultra low-FOM high-precision modulators with fully-clocked SO and zero static power quantizers	Jian Xu, Xiaobo Wu, Menglian Zhao, Rui Fan, Hanqing Wang, Xiaofen Ma
6	2011	Ultra low-power RFID tag with precision localization using IR-UWB	Yuan Zhou, Choi Look Law, Jingjing Xia
8	2011	Ultra-fast sequence clustering from similarity networks with SiLiX	Vincent Miele, Simon Penel, Laurent Duret
8	2011	Ultra-fast switching in solution processed quantum dot based non-volatile resistive memory	V Kannan, J K Rhee
8	2011	Ultra-high extinction ratio and low cross talk characteristics of 4-array integrated SOA module with compact-packaging technologies	Goji Nakagawa, Yutaka Kai, Kyosuke Sone, Setsuo Yoshida, Shinsuke Tanaka, Ken Morito
8	2011	Ultra-high quality factor planar Si3N4 ring resonators on Si substrates.	Ming-Chun Tien, Jared F Bauters, Martijn J R Heck, Daryl T Spencer, Daniel J Blumenthal, John E Bowers
9	2011	Ultra-high resolution optical coherence tomography for encapsulation quality inspection	J Czajkowski, T Fabritius, J Ulański, T Marszałek, M Gazicki-Lipman, A Nosal
9	2011	Ultra-high speed real-time 4D display system installed in ultra-high speed parallel OCT system at a volume rate of 12 volumes/sec	K Ohbayashi, D Choi, H Hiro-oka, A Kubota, T Ohno, R Ikeda
9	2011	Ultra-high-Q triangular cross-section nanobeam photonic cavities in single crystal diamond	Igal Bayn, Boris Meyler, Joseph Salzman, Rafi Kalish
9	2011	Ultra-high-speed phase-sensitive optical coherence reflectometer with a stretched pulse supercontinuum source.	Hoseong Song, Seung Bum Cho, Dong Uk Kim, Sungho Jeong, Dug Young Kim
9	2011	Ultra-Large Area Self-Assembled Monolayers of Nanoparticles.	Tianlong Wen, Sara A Majetich
10	2012	Ultra-Long-Haul Transmission of 16x112 Gb / s Spectrally- Engineered DAC-Generated Nyquist-WDM PM-16QAM Channels with 1 . 05x ( Symbol-Rate ) Frequency Spacing	R Cigliutti, A Nespola, D Zeolla, G Bosco, A Carena, V Curri
10	2011	Ultra-long-haul transmission of 7 42.9 Gbit/s PS-QPSK and PM-BPSK	C Behrens, D Lavery, DS Millar, S Makovejs, BC Thomsen, RI Killey
10	2011	Ultra-low cost and power VCSEL-based 480Mbit/s UWB radio over a bi-directional CWDM PON	Terence Quinlan, Maria Morant, Roberto Llorente, Stuart Walker
10	2011	Ultra-low leakage and high breakdown Schottky diodes fabricated on free-standing GaN substrate	Yaqi Wang, Siddharth Alur, Yogesh Sharma, Fei Tong, Resham Thapa, Patrick Gartland
10	2011	Ultra-low power arrayed CMOS silicon photonic transceivers for an 80 Gbps WDM optical link	Xuezhe Zheng, Frankie Liu, Jon Lexau, Dinesh Patil, Guoliang Li, Ying Luo
10	2011	Ultra-Low Power Nanomagnet-Based Computing: A System-Level Perspective	Charles Augustine, Xuanyao Fong, Behtash Behin-Aein, Kaushik Roy
12	2011	Ultra-short plasmonic splitters and waveguide cross-over based on coupled surface plasmon slot waveguides.	Yi-Jiao Fang, Zhuo Chen, Ling Chen, Kai-Ting He, Zhen-Lv Han, Zhen-Lin Wang
12	2011	Ultra-short suspended single-wall carbon nanotube transistors	J O Island, V Tayari, S Yiğen, A C McRae, A R Champagne
12	2011	Ultra-strong Adhesion of Graphene Membranes	Steven P Koenig, Narasimha G Boddeti, Martin L Dunn, J Scott Bunch
12	2012	Ultra-tangibles: creating movable tangible objects on interactive tables	Mark T Marshall, Tom Carter, Jason Alexander, Sriram Subramanian
12	2012	Ultra-thin plasmonic optical vortex plate based on phase discontinuities	Patrice Genevet, Nanfang Yu, Francesco Aieta, Jiao Lin, Mikhail A Kats, Romain Blanchard
12	2011	Ultra-thin, gas permeable free-standing and composite membranes for microfluidic lung assist devices.	Ramaswamy Sreenivasan, Erik K Bassett, David M Hoganson, Joseph P Vacanti, Karen K Gleason
13	2011	Ultra-thin-layer chromatography mass spectrometry and thin-layer chromatography mass spectrometry of single peptides of angiotensin-converting enzyme inhibitors.	Irena Vovk, Gordana Popović, Breda Simonovska, Alen Albreht, Danica Agbaba
13	2011	Ultra-Wideband Microwave Image Reconstruction by Robust Capon Beamforming Algorithm for Early Breast Cancer Detection	Bingyu Liu, Xia Xiao, Xu Liu
13	2011	Ultrabright and efficient single-photon generation based on nitrogen-vacancy centres in nanodiamonds on a solid immersion lens	Tim Schröder, Friedemann Gädeke, Moritz Julian Banholzer, Oliver Benson
14	2012	Ultrabroadband light absorption by a sawtooth anisotropic metamaterial slab.	Yanxia Cui, Kin Hung Fung, Jun Xu, Hyungjin Ma, Yi Jin, Sailing He
14	2011	Ultracapacitors for fuel saving in small size hybrid vehicles	L Solero, A Lidozzi, V Serrao, L Martellucci, E Rossi
14	2011	Ultracompact all-optical XOR logic gate in a slow-light silicon photonic crystal waveguide Abstract	C Husko, T D Vo, B Corcoran, J Li, T F Krauss, B J Eggleton
15	2011	Ultracompact and fabrication-tolerant integrated polarization splitter.	A Hosseini, S Rahimi, X Xu, D Kwong, J Covey, R T Chen
15	2011	Ultrafast all-optical implementation of a leaky integrate-and-fire neuron.	Konstantin S Kravtsov, Mable P Fok, Paul R Prucnal, David Rosenbluth
15	2011	Ultrafast all-optical switching by single photons	Thomas Volz, Andreas Reinhard, Martin Winger, Kevin J Hennessy, Evelyn L Hu
16	2011	Ultrafast all-optical switching in nanoplasmonic waveguide with Kerr nonlinear resonator.	Hua Lu, Xueming Liu, Leiran Wang, Yongkang Gong, Dong Mao
17	2011	Ultrafast charge separation at a polymer-single-walled carbon nanotube molecular junction.	Samuel D Stranks, Christian Weisspfennig, Patrick Parkinson, Michael B Johnston, Laura M Herz, Robin J Nicholas
17	2011	Ultrafast compound Doppler imaging: providing full blood flow characterization.	Jeremy Bercoff, Gabriel Montaldo, Thanasis Loupas, David Savery, Fabien Mézière, Mathias Fink
17	2011	Ultrafast direct modulation of a single-mode photonic crystal nanocavity light-emitting diode	Gary Shambat, Bryan Ellis, Arka Majumdar, Jan Petykiewicz, Marie A Mayer, Tomas Sarmiento
17	2011	Ultrafast dynamics of exciton fission in polycrystalline pentacene.	Mark W B Wilson, Akshay Rao, Jenny Clark, R Sai Santosh Kumar, Daniele Brida, Giulio Cerullo
17	2011	Ultrafast dynamics of surface-enhanced Raman scattering due to Au nanostructures.	Ikufumi Katayama, Sho Koga, Ken-ichi Shudo, Jun Takeda, Toru Shimada, Atsushi Kubo
17	2011	Ultrafast electrochemical lithiation of individual Si nanowire anodes.	Xiao Hua Liu, Li Qiang Zhang, Li Zhong, Yang Liu, He Zheng, Jiang Wei Wang
18	2011	Ultrafast energy transfer of one-dimensional excitons between carbon nanotubes: a femtosecond time-resolved luminescence study.	Takeshi Koyama, Yasumitsu Miyata, Koji Asaka, Hisanori Shinohara, Yahachi Saito, Arao Nakamura
18	2011	Ultrafast Exciton Energy Transfer in Bundles of Single-Walled Carbon Nanotubes	Takeshi Koyama, Koji Asaka, Naoki Hikosaka, Hideo Kishida, Yahachi Saito, Arao Nakamura
18	2012	Ultrafast heating as a sufficient stimulus for magnetization reversal in a ferrimagnet	T A Ostler, J Barker, R F L Evans, R W Chantrell, U Atxitia, O Chubykalo-Fesenko
